,model_id,exclusive_use_area,city,supply_area,apartment_building_count_in_sites,total_parking_capacity_in_site,room_count,total_household_count_in_sites,floor,bathroom_count,heat_type_district,total_household_count_of_area_type,heat_fuel_cogeneration,heat_type_individual,heat_fuel_gas,front_door_structure_mixed,front_door_structure_stairway,front_door_structure_corridor,heat_type_central
0,GBM_grid_1_AutoML_20190421_195113_model_42,4.766713991350316e+20,3.571724644099178e+20,3.4959916905528505e+20,1.8537567252601058e+20,1.589591228164132e+20,1.197404578473176e+20,1.0849768757051733e+20,8.136695668016782e+19,6.848327964812116e+19,6.767114957352023e+19,6.699029678922924e+19,4.945722048992248e+19,2.8500630019581673e+19,2.221630534033028e+19,2.216155186029029e+19,1.7574217825394885e+19,1.027446667010166e+19,5.348566066979144e+18
1,XGBoost_grid_1_AutoML_20190421_201138_model_4,7.297047368239594e+20,6.531714795500995e+20,3.561032113421382e+20,2.5145424547739494e+20,2.137266414208659e+20,2.0622385554789918e+20,1.6052048210441326e+20,1.4882945413110825e+20,1.1538761445825472e+20,9.037010093602557e+19,6.605323140738738e+19,5.176407944788024e+19,4.363870611080164e+19,4.323035189029215e+19,2.244673658923306e+19,1.4499219153551884e+19,1.4312705697597358e+19,7.521286255615672e+18
2,XGBoost_grid_1_AutoML_20190421_204058_model_19,1.044376450075405e+21,6.234728436511256e+20,5.297875216433089e+20,2.9494116180895885e+20,2.3245705949454166e+20,2.182936960632986e+20,2.0106100634070024e+20,1.6747067982153882e+20,1.501250834489074e+20,8.616256020759655e+19,6.778199353973958e+19,6.384057860569747e+19,4.934678554202866e+19,4.8053342053345526e+19,2.1342013276341404e+19,1.628436094364156e+19,1.6062905008156312e+19,1.5226440542209442e+19
3,GBM_grid_1_AutoML_20190421_193852_model_8,1.189184770281411e+21,5.0679527335507106e+20,3.808660076026302e+20,1.9710010806061394e+20,1.9624730924992483e+20,1.8449794558769653e+20,1.4659802606886244e+20,1.4469529920676351e+20,1.0476742284947331e+20,8.092481226831351e+19,5.715531041430779e+19,5.631280743050117e+19,4.704902614230237e+19,4.4022448863035e+19,2.04015855879418e+19,1.8939153759139267e+19,1.1397191187363267e+19,7.456283128181555e+18
4,XGBoost_grid_1_AutoML_20190421_201138_model_18,9.817926704348602e+20,6.584970564782092e+20,6.134552195987375e+20,2.6763073553425865e+20,2.5683008328103363e+20,2.04296473237059e+20,1.7915609588749566e+20,1.217056369698742e+20,1.0846240644140525e+20,1.068056359323933e+20,7.475997371667579e+19,6.907319842274856e+19,6.1221541908335034e+19,3.1055628960719176e+19,2.422040717451015e+19,2.3172363686030344e+19,2.0989907871685673e+19,1.3665127433697755e+19
5,GBM_grid_1_AutoML_20190421_201138_model_30,7.831277726099676e+20,4.264665723108726e+20,3.745314132517569e+20,1.483598483168386e+20,1.4728028622803698e+20,1.2766884268116384e+20,1.0978179400645738e+20,9.793265626107819e+19,9.045418278922486e+19,5.7704899102428365e+19,3.5883934162981224e+19,3.4486540645984895e+19,2.4390363084861997e+19,1.9191197008597615e+19,1.3510552591506866e+19,1.1299645814281863e+19,9.76631857523196e+18,5.810713344121766e+18
6,GBM_1_AutoML_20190421_193027,4.616726179729113e+20,3.472102557435696e+20,3.287329364505149e+20,1.1901065480535802e+20,1.0660337856944066e+20,1.0094290799169634e+20,8.070194565940983e+19,7.691747941316297e+19,5.583690361362763e+19,5.1258774690079965e+19,4.6704804236017795e+19,4.446396875228473e+19,4.377449579683198e+19,2.0301193579256087e+19,1.7373620725000176e+19,1.2660116631305847e+19,9.608042776901976e+18,5.202507492101194e+18
7,XGBoost_1_AutoML_20190421_204058,8.278941862247279e+20,4.9264281707917554e+20,4.403661585045657e+20,1.5989113924086032e+20,1.529855904919155e+20,1.2696639548850333e+20,1.1180403338444905e+20,9.109087918654436e+19,8.766281303737133e+19,6.976835365429366e+19,6.359029897289007e+19,6.163610617051821e+19,4.331032157000355e+19,2.5966770288999793e+19,1.6497740966220792e+19,1.4530877391850439e+19,7.7719155331207e+18,7.205287163548664e+18
8,XGBoost_grid_1_AutoML_20190421_195113_model_6,9.500797996025449e+20,7.264843816154127e+20,5.094320605681523e+20,2.4477903122032964e+20,2.1864520553265208e+20,2.0050099428234835e+20,1.7252415840809963e+20,1.3302833734396726e+20,1.1578749364313732e+20,1.1557586844111602e+20,9.432461325257776e+19,8.637894409594287e+19,5.929449824707622e+19,4.727790048274022e+19,2.5355226319677293e+19,1.7694847445101445e+19,8.041637280286245e+18,3.0847950455685775e+18
9,XGBoost_1_AutoML_20190421_193852,7.619545211743502e+20,4.565837263158431e+20,4.429435193131889e+20,1.77924431758154e+20,1.7728189475506776e+20,1.536750458551822e+20,1.0544442294502058e+20,1.0390523860752951e+20,9.893457523677279e+19,7.416662446576973e+19,6.76804866262633e+19,4.584657823593398e+19,3.857311090610274e+19,2.022367800949788e+19,1.9577171769435357e+19,1.2685289950023778e+19,7.381829698306703e+18,6.207812413853532e+18
10,XGBoost_grid_1_AutoML_20190421_195113_model_13,7.681354301879395e+20,6.798999211260783e+20,4.6493987394945234e+20,1.7613020470348402e+20,1.6297492630914413e+20,1.4622289029365131e+20,1.0751236682235563e+20,9.70827161806213e+19,9.454607248659789e+19,8.564754016505325e+19,7.775736555929548e+19,7.2698890791898055e+19,5.756270146263135e+19,3.7764257376152584e+19,2.6752109663278334e+19,1.886896973291507e+19,6.764121317043077e+18,3.5956946682867876e+18
11,XGBoost_grid_1_AutoML_20190421_193852_model_2,1.1053397079062825e+21,1.0196668877698834e+21,7.471654036855073e+20,2.873746746303253e+20,2.3627734343157495e+20,2.1944024919655737e+20,1.7926529058627335e+20,1.6946137640995285e+20,1.6740411098954675e+20,9.765330114278588e+19,6.724512840017563e+19,5.898850416106616e+19,2.9828026427330527e+19,2.6004430761274376e+19,2.287101833518252e+19,1.4383302040681972e+19,1.2558631708062122e+19,1.1415742147547103e+19
12,GBM_1_AutoML_20190421_201138,5.625488867638714e+20,3.596016638276749e+20,3.1380332776392124e+20,1.0650087769745287e+20,1.0150941156669863e+20,7.965380321488352e+19,7.645337995312523e+19,5.372815026271604e+19,5.000764920492668e+19,4.5216760383357846e+19,3.495600132471967e+19,3.399337889460178e+19,3.3870310558104814e+19,2.547416269147708e+19,1.9080627920285204e+19,8.869838916350378e+18,8.724280619263066e+18,5.918517160690319e+18
13,XGBoost_1_AutoML_20190421_193027,6.374396319955084e+20,6.206835673694114e+20,4.1474570799003625e+20,1.8224255696805822e+20,1.775357148153166e+20,1.2390095707026384e+20,1.0464272063869747e+20,9.778390553197963e+19,8.396694104004415e+19,6.241417337489064e+19,6.122478766666023e+19,5.175066100797486e+19,4.714971501912759e+19,2.9715832260832264e+19,1.9040003164662137e+19,9.100116783381086e+18,7.506242187768627e+18,6.178445557787263e+18
14,GBM_grid_1_AutoML_20190421_201138_model_19,6.228965236363105e+20,3.902566109600232e+20,3.621174168007706e+20,2.0411548482703406e+20,1.4211135892055969e+20,1.3927943917987378e+20,1.0902518926905914e+20,8.484799290152059e+19,7.951348793899326e+19,7.074933792859541e+19,5.621460784800124e+19,5.227884000567938e+19,4.5165685869224395e+19,3.671716826376569e+19,1.8754196112138043e+19,8.843121333551235e+18,6.464802366125244e+18,3.465944324749918e+18
15,XGBoost_grid_1_AutoML_20190421_193852_model_4,8.572744035562978e+20,5.712883681313885e+20,5.578417103595949e+20,3.016627490684372e+20,2.9019679552338448e+20,2.4668350850494e+20,1.6771978517592775e+20,1.6423053340369224e+20,1.395998368682077e+20,1.1905719493353852e+20,9.45332829673436e+19,7.823091202323907e+19,5.389466909971946e+19,3.218011929365499e+19,2.405686361597149e+19,2.315049879780039e+19,2.0359476491621237e+19,1.8550755674673906e+19
16,XGBoost_grid_1_AutoML_20190421_204058_model_29,1.0610035287934244e+21,8.051677558676212e+20,6.21304853011756e+20,2.59553265719779e+20,2.227779618782063e+20,2.217381053533069e+20,1.883425771102153e+20,1.8321887051696518e+20,1.689825346980099e+20,1.3659459011451919e+20,1.2416172604400022e+20,1.2109105395041252e+20,7.098950205442726e+19,7.06627931693499e+19,2.8865909772561416e+19,2.123608412709821e+19,1.6539331093053047e+19,1.3032624573726589e+19
17,GBM_grid_1_AutoML_20190421_201138_model_7,5.264511283756133e+20,3.8040977184975435e+20,2.7675518670898568e+20,1.7123201234313727e+20,1.5940520787794146e+20,1.4751874830986904e+20,1.027808076482216e+20,9.369773329507104e+19,8.101261486886119e+19,4.768470659087781e+19,4.699803079300612e+19,4.321265415113146e+19,3.137302718133253e+19,2.1168147502641185e+19,1.5605968866373534e+19,1.3069150350001308e+19,8.671306149036818e+18,6.055501466104234e+18
18,XGBoost_1_AutoML_20190421_201138,6.175481472350872e+20,6.1448914755694e+20,4.445937367328993e+20,1.6460579232420567e+20,1.616655926784164e+20,1.55974995482071e+20,9.932381994519154e+19,8.97989266356285e+19,7.739235408715291e+19,6.57625996978406e+19,5.7734779430424805e+19,4.804016110795175e+19,3.9744697720102715e+19,3.2526691955799753e+19,2.7941567939276177e+19,1.078073130155298e+19,6.726552653989413e+18,4.3866522721053573e+18
19,XGBoost_1_AutoML_20190421_195113,7.443940714335584e+20,4.856373623056845e+20,3.684095787989048e+20,1.9650350425528966e+20,1.8351141097869777e+20,1.542376439648826e+20,1.0817737784311362e+20,1.0674065039714524e+20,1.0206194694598164e+20,8.826937401999675e+19,8.271426304447244e+19,6.280493540935572e+19,3.776527772294316e+19,3.1935090928381854e+19,2.3246494958998258e+19,1.0390224353785545e+19,6.503679448015962e+18,4.838709331039879e+18
