,model_id,ntrees,learn_rate,max_depth,sample_rate,col_sample_rate,score_each_iteration,seed,stopping_rounds,stopping_metric,stopping_tolerance
0,GBM_1_AutoML_20190421_193027,65,0.1,15,0.8,0.8,False,6024422029629654785,0,deviance,0.014965432360392486
1,GBM_2_AutoML_20190421_193027,65,0.1,15,0.8,0.8,False,6024422029629654785,0,deviance,0.014965432360392486
2,GBM_3_AutoML_20190421_193027,65,0.1,15,0.8,0.8,False,6024422029629654785,0,deviance,0.014965432360392486
3,GBM_4_AutoML_20190421_193027,65,0.1,15,0.8,0.8,False,6024422029629654785,0,deviance,0.014965432360392486
4,GBM_5_AutoML_20190421_193027,65,0.1,15,0.8,0.8,False,6024422029629654785,0,deviance,0.014965432360392486
5,GBM_grid_1_AutoML_20190421_193027_model_1,30,0.8,8,0.6,0.7,False,3124092606928605225,0,deviance,0.014965432360392486
6,GBM_grid_1_AutoML_20190421_193027_model_10,46,0.8,8,0.9,0.7,False,4692662799764857830,0,deviance,0.014965432360392486
7,GBM_grid_1_AutoML_20190421_193027_model_11,77,0.01,6,1.0,0.4,False,-3530982630697928853,0,deviance,0.014965432360392486
8,GBM_grid_1_AutoML_20190421_193027_model_12,3,0.001,16,0.5,0.7,False,-7464872345432784346,0,deviance,0.014965432360392486
9,GBM_grid_1_AutoML_20190421_193027_model_13,1,0.05,3,0.9,0.7,False,1574413598421035969,0,deviance,0.014965432360392486
10,GBM_grid_1_AutoML_20190421_193027_model_2,101,0.1,16,1.0,0.4,False,-8794556307968222314,0,deviance,0.014965432360392486
11,GBM_grid_1_AutoML_20190421_193027_model_3,55,0.5,3,0.8,1.0,False,-348465370131244444,0,deviance,0.014965432360392486
12,GBM_grid_1_AutoML_20190421_193027_model_4,347,0.005,16,0.8,0.4,False,5602131279252309485,0,deviance,0.014965432360392486
13,GBM_grid_1_AutoML_20190421_193027_model_5,312,0.008,12,0.8,0.4,False,1092666611756342964,0,deviance,0.014965432360392486
14,GBM_grid_1_AutoML_20190421_193027_model_6,93,0.08,12,0.6,0.4,False,-2755890100109624492,0,deviance,0.014965432360392486
15,GBM_grid_1_AutoML_20190421_193027_model_7,278,0.008,8,0.6,0.4,False,-5143265548577003046,0,deviance,0.014965432360392486
16,GBM_grid_1_AutoML_20190421_193027_model_8,30,0.5,12,0.5,0.4,False,2378520213287539484,0,deviance,0.014965432360392486
17,GBM_grid_1_AutoML_20190421_193027_model_9,104,0.01,16,0.8,0.4,False,-2476791890784516323,0,deviance,0.014965432360392486
