transaction_real_price,city,exclusive_use_area,floor,total_parking_capacity_in_site,total_household_count_in_sites,apartment_building_count_in_sites,supply_area,total_household_count_of_area_type,room_count,bathroom_count,heat_fuel_cogeneration,heat_fuel_gas,heat_type_central,heat_type_district,heat_type_individual,front_door_structure_corridor,front_door_structure_mixed,front_door_structure_stairway
570000000,1,84.91,15,1391.0,1606,15,104.75,958,3.0,2.0,0,1,0,0,1,0,0,1
1050000000,1,84.99,17,7876.0,5563,65,109.35,828,3.0,2.0,1,0,0,1,0,0,0,1
586050000,0,156.7997,13,857.0,390,4,198.7,154,3.0,2.0,0,1,0,0,1,0,0,1
389370000,1,84.93,9,492.0,455,6,109.81,78,3.0,2.0,0,1,0,0,1,0,0,1
1130000000,1,76.5,6,3930.0,3930,30,112.39,1170,3.0,1.0,1,0,0,1,0,1,0,0
128000000,0,84.92,10,225.0,343,1,125.62,164,3.0,2.0,0,1,0,0,1,0,0,1
350000000,1,59.54,26,2990.0,2182,22,76.62,176,3.0,1.0,0,1,0,0,1,0,0,1
305000000,1,84.96,9,169.0,165,1,111.28,60,3.0,2.0,0,1,0,0,1,0,0,1
315000000,1,60.054,4,635.0,620,22,81.54,256,3.0,2.0,0,1,0,0,1,0,0,1
350000000,1,84.99,6,209.0,194,2,108.79,108,3.0,2.0,0,1,0,0,1,0,0,1
1400000000,1,177.255,18,1662.0,490,2,244.63,62,4.0,2.0,0,1,1,0,0,0,0,1
480000000,1,84.51,2,465.0,387,5,116.84,34,3.0,2.0,1,0,0,1,0,0,0,1
350000000,0,134.92,9,1849.0,1691,16,162.74,182,4.0,2.0,0,1,0,0,1,0,0,1
720000000,0,98.55,33,3728.0,1631,3,147.52,2,4.0,2.0,0,1,0,0,1,0,0,1
260000000,1,60.06,6,1425.0,998,10,76.88,538,2.0,1.0,0,1,0,0,1,1,0,0
460000000,1,84.99,9,2251.0,2904,21,110.76,816,3.0,2.0,0,1,0,0,1,0,0,1
685000000,1,59.99,2,1027.0,847,10,85.02,76,3.0,2.0,0,1,0,1,0,0,0,1
175000000,0,57.0,2,1197.0,798,8,74.27,228,2.0,1.0,0,1,1,0,0,1,0,0
164000000,0,84.7504,7,712.0,705,7,107.51,409,3.0,2.0,0,1,0,0,1,0,0,1
580000000,1,84.3,7,156.0,144,2,106.34,120,3.0,2.0,1,0,0,1,0,0,0,1
1247000000,1,58.08,3,2500.0,5040,124,59.5,65,3.0,1.0,0,1,0,0,1,0,0,1
200000000,0,84.962,13,1093.0,1002,12,106.79,224,3.0,2.0,1,0,0,1,0,0,0,1
950000000,1,59.88,22,2173.0,2036,19,85.12,895,3.0,1.0,1,0,0,1,0,1,0,0
590000000,1,83.475,9,1920.0,960,13,100.04,270,3.0,1.0,0,1,1,0,0,0,0,1
449000000,1,84.98,4,321.0,293,5,109.66,15,3.0,2.0,0,1,0,0,1,0,0,1
325330000,0,115.28,26,507.0,270,2,155.92,112,3.0,2.0,0,1,0,0,1,0,0,1
495000000,1,59.817,6,677.0,603,11,85.43,213,3.0,2.0,0,1,0,0,1,0,0,1
250000000,0,167.66,8,994.0,868,10,201.31,48,4.0,2.0,0,1,0,0,1,0,0,1
117000000,0,84.99,22,3776.0,3382,35,104.76,500,3.0,2.0,0,1,0,0,1,0,0,1
150000000,1,59.4,17,709.0,783,6,85.82,313,3.0,1.0,0,1,1,0,0,1,0,0
405000000,0,124.9736,23,1367.0,935,9,159.48,134,4.0,2.0,0,1,0,0,1,0,0,1
535000000,1,114.73,11,2513.0,1224,13,149.41,255,4.0,3.0,0,1,0,0,1,0,0,1
249000000,1,59.95,13,781.0,1391,10,82.41,690,3.0,1.0,1,0,0,1,0,1,0,0
460000000,1,47.94,3,783.0,1368,15,65.01,0,2.0,1.0,1,0,0,1,0,1,0,0
450000000,1,102.7,4,2488.0,1244,28,126.48,492,4.0,2.0,1,0,0,1,0,0,0,1
76860000,0,45.15,25,265.0,512,1,60.46,20,1.0,1.0,0,1,0,0,1,0,0,1
364000000,1,59.91,14,262.0,256,2,86.05,115,3.0,1.0,0,1,0,0,1,1,0,0
183500000,0,40.95,13,1599.0,1270,13,58.21,144,1.0,1.0,0,1,0,0,1,1,0,0
532000000,1,84.93,25,571.0,481,5,108.44,197,3.0,2.0,0,1,1,0,0,0,0,1
680000000,1,59.68,6,346.0,378,12,85.94,8,3.0,2.0,0,1,0,0,1,0,0,1
99000000,0,53.76,9,424.0,424,4,70.6,92,2.0,1.0,0,1,0,0,1,1,0,0
545000000,1,84.92,19,1174.0,800,10,113.47,202,3.0,2.0,0,1,0,0,1,0,0,1
163000000,1,44.33,13,994.0,3315,21,62.53,525,3.0,1.0,1,0,0,1,0,1,0,0
687000000,1,59.9772,22,4443.0,3002,34,86.43,46,2.0,1.0,1,0,0,1,0,0,0,1
114500000,1,49.93,4,1650.0,1650,12,71.0,492,3.0,1.0,1,0,0,1,0,1,0,0
725000000,1,84.96,14,239.0,224,2,108.51,44,3.0,2.0,1,0,0,1,0,0,0,1
730000000,1,73.02,15,400.0,900,8,100.38,270,3.0,1.0,1,0,1,0,0,1,0,0
1140000000,1,84.9231,17,4443.0,3002,34,110.94,65,3.0,2.0,1,0,0,1,0,0,0,1
508000000,1,59.95,2,1129.0,945,16,80.11,147,3.0,2.0,0,1,0,0,1,0,0,1
655000000,1,84.82,3,416.0,590,4,105.81,0,3.0,2.0,1,0,0,1,0,0,0,1
267000000,1,49.5,14,1800.0,3481,25,69.83,1177,3.0,1.0,1,0,0,1,0,1,0,0
140000000,0,84.99,5,810.0,604,11,104.65,80,3.0,2.0,0,1,0,0,1,0,0,1
160000000,0,84.99,8,469.0,477,3,107.22,223,3.0,2.0,0,1,0,0,1,0,0,1
712000000,1,97.63,3,996.0,498,7,120.76,233,3.0,2.0,1,0,0,1,0,0,0,1
680000000,1,84.96,10,554.0,391,8,106.46,86,3.0,2.0,1,0,0,1,0,0,0,1
305000000,1,80.1498,5,390.0,300,6,107.46,160,3.0,2.0,0,1,0,0,1,0,0,1
401000000,0,84.6528,22,4599.0,2752,14,114.16,270,3.0,2.0,0,1,0,0,1,0,0,1
220000000,0,60.0,17,4515.0,2637,30,80.31,92,3.0,1.0,0,1,0,0,1,0,0,1
423000000,0,134.25,8,2136.0,1424,19,168.94,200,4.0,2.0,1,0,0,1,0,1,0,0
500000000,1,84.88,6,977.0,596,12,110.62,262,3.0,2.0,0,1,0,0,1,0,0,1
336000000,1,84.896,9,810.0,730,12,106.58,384,3.0,2.0,0,1,1,0,0,0,0,1
232730000,0,70.3067,9,916.0,559,5,98.13,64,3.0,2.0,0,1,0,0,1,0,0,1
285000000,0,84.34,21,1440.0,1780,16,114.6,510,3.0,2.0,0,1,0,0,1,0,0,1
113500000,0,44.87,17,1383.0,640,5,64.9,640,2.0,1.0,0,1,0,0,1,1,0,0
349000000,1,84.87,13,1252.0,1668,18,105.79,56,3.0,2.0,1,0,0,1,0,0,0,1
1865000000,1,151.93,2,192.0,144,2,164.59,48,5.0,2.0,0,1,0,0,1,1,0,0
1280000000,1,125.71,39,1129.0,580,4,156.97,76,3.0,2.0,1,0,0,1,0,0,0,1
388000000,1,59.92,22,2721.0,2002,25,82.27,709,3.0,1.0,0,1,0,0,1,0,0,1
246000000,0,59.94,4,1422.0,1422,15,75.18,648,3.0,1.0,1,0,0,1,0,1,0,0
525000000,1,59.96,21,2615.0,2123,21,86.96,748,3.0,1.0,0,1,0,0,1,1,0,0
329000000,0,142.539,3,1592.0,1344,11,178.33,123,4.0,2.0,0,1,0,0,1,0,0,1
370000000,1,59.89,7,1710.0,855,6,76.51,165,2.0,1.0,0,1,1,0,0,1,0,0
309500000,0,84.99,16,1573.0,1733,13,102.69,628,3.0,2.0,0,1,0,0,1,0,0,1
195000000,0,84.98,16,955.0,894,5,104.42,546,3.0,2.0,0,1,0,0,1,0,0,1
385000000,1,59.7,13,1401.0,1444,11,85.69,412,3.0,1.0,0,1,1,0,0,1,0,0
46000000,0,40.13,1,84.0,700,16,45.96,1,2.0,1.0,0,1,0,0,1,0,0,1
435000000,1,84.95,8,2084.0,1830,16,109.64,752,3.0,2.0,0,1,0,0,1,0,0,1
338000000,0,84.9357,14,482.0,480,6,107.2,480,3.0,2.0,0,1,0,0,1,0,0,1
249000000,0,84.93,13,702.0,848,11,102.91,160,3.0,2.0,0,1,0,0,1,0,0,1
965000000,1,84.79,2,9766.0,6864,66,108.82,1762,3.0,2.0,1,0,0,1,0,0,0,1
