transaction_real_price,city,exclusive_use_area,floor,total_parking_capacity_in_site,total_household_count_in_sites,apartment_building_count_in_sites,supply_area,total_household_count_of_area_type,room_count,bathroom_count,heat_fuel_cogeneration,heat_fuel_gas,heat_type_central,heat_type_district,heat_type_individual,front_door_structure_corridor,front_door_structure_mixed,front_door_structure_stairway
135000000,0,82.32,4,224.0,200,8,88.51,20,3.0,1.0,0,1,0,0,1,1,0,0
145000000,0,59.948,19,1497.0,1280,11,85.37,168,3.0,1.0,0,1,0,0,1,0,0,1
94500000,0,59.92,14,559.0,848,3,80.44,598,3.0,2.0,0,1,0,0,1,0,0,1
308000000,0,84.99,16,1573.0,1733,13,102.69,628,3.0,2.0,0,1,0,0,1,0,0,1
538000000,1,59.88,16,2173.0,2036,19,85.12,895,3.0,1.0,1,0,0,1,0,1,0,0
1265000000,1,115.47,3,1444.0,1848,36,143.81,102,4.0,2.0,1,0,0,1,0,1,0,0
206000000,0,84.98,2,243.0,170,2,107.32,54,3.0,2.0,0,1,0,0,1,0,0,1
1120000000,1,126.18,7,5540.0,5539,122,161.98,76,4.0,2.0,1,0,0,1,0,0,0,1
382000000,1,84.09,2,2366.0,1971,28,105.32,394,3.0,2.0,0,1,0,0,1,0,0,1
565000000,1,59.9,18,2776.0,2298,27,82.54,384,3.0,1.0,0,1,0,0,1,0,0,1
215600000,0,117.27,1,941.0,652,11,155.05,187,4.0,2.0,1,0,0,1,0,0,0,1
214540000,0,117.27,2,1576.0,1112,17,153.13,214,4.0,2.0,0,1,1,0,0,0,0,1
163000000,0,84.99,19,3776.0,3382,35,107.48,850,3.0,2.0,0,1,0,0,1,0,0,1
150000000,0,59.84,9,514.0,498,5,79.55,160,3.0,1.0,0,1,0,0,1,0,0,1
1093000000,1,125.58,8,237.0,138,2,155.01,70,4.0,2.0,0,1,0,0,1,0,0,1
297000000,1,59.99,10,2251.0,2904,21,78.18,753,3.0,2.0,0,1,0,0,1,1,0,0
357500000,0,125.04,9,543.0,431,3,156.57,86,4.0,2.0,0,1,0,0,1,0,0,1
239400000,0,84.99,29,1066.0,690,4,107.13,85,3.0,2.0,0,1,0,0,1,0,0,1
392000000,0,104.95,20,775.0,490,8,143.48,190,4.0,2.0,0,1,0,0,1,0,0,1
184000000,0,84.962,23,1599.0,1270,13,106.95,300,3.0,2.0,0,1,0,0,1,0,0,1
395000000,1,114.99,10,1525.0,1281,11,143.66,296,4.0,2.0,0,1,0,0,1,0,0,1
151000000,0,108.2848,9,87.0,114,1,139.1,9,3.0,2.0,0,1,0,0,1,0,0,1
460000000,1,102.634,3,330.0,256,4,127.18,19,4.0,2.0,0,1,0,0,1,0,0,1
224000000,1,84.42,2,133.0,167,2,107.93,167,3.0,1.0,0,1,0,0,1,1,0,0
430000000,1,59.26,5,893.0,2433,14,83.26,447,3.0,1.0,1,0,0,1,0,1,0,0
394000000,1,101.95,3,2251.0,2904,21,132.88,278,4.0,2.0,0,1,0,0,1,0,0,1
275000000,0,72.2358,8,3400.0,3160,30,95.84,49,3.0,2.0,0,1,0,0,1,0,0,1
430000000,1,71.17,1,381.0,708,6,88.59,78,3.0,1.0,1,0,0,1,0,0,0,1
210000000,1,84.78,1,659.0,746,5,108.08,283,3.0,2.0,0,1,0,0,1,0,0,1
190000000,1,39.6,10,486.0,1624,10,56.91,626,2.0,1.0,1,0,0,1,0,1,0,0
150000000,1,45.5,5,228.0,291,1,56.37,36,1.0,1.0,0,1,0,0,1,1,0,0
288500000,1,59.58,19,4932.0,4509,31,81.7,684,2.0,1.0,0,1,1,0,0,1,0,0
262500000,0,84.9803,5,1846.0,1638,16,112.39,240,3.0,2.0,0,1,0,0,1,0,0,1
427000000,1,84.97,1,1177.0,1074,16,109.81,465,3.0,2.0,0,1,0,0,1,0,0,1
327000000,1,59.98,8,448.0,403,7,78.36,131,3.0,1.0,0,1,0,0,1,0,0,1
413000000,1,59.67,17,512.0,1056,10,73.22,252,2.0,1.0,0,1,0,0,1,1,0,0
785000000,1,114.07,4,682.0,568,9,141.8,100,4.0,2.0,0,1,0,0,1,0,0,1
300890000,0,127.24,29,1066.0,690,4,160.38,88,3.0,2.0,0,1,0,0,1,0,0,1
348950000,1,68.656,9,124.0,148,2,87.91,20,3.0,2.0,0,1,0,0,1,0,0,1
307000000,0,59.92,16,1263.0,916,14,80.0,295,3.0,1.0,0,1,0,0,1,0,0,1
131000000,0,59.9675,15,513.0,528,8,81.22,218,3.0,2.0,0,1,0,0,1,0,0,1
388500000,1,84.93700000000003,20,328.0,288,5,122.72,288,3.0,2.0,0,1,0,0,1,0,0,1
526000000,1,101.48,22,2776.0,2298,27,126.59,208,4.0,2.0,0,1,0,0,1,0,0,1
237500000,1,59.445,15,2300.0,1981,18,80.71,223,2.0,1.0,1,0,0,1,0,1,0,0
233000000,0,52.29,9,467.0,648,2,69.97,229,2.0,1.0,0,1,0,0,1,0,0,1
890000000,1,183.87,3,2085.0,1592,15,221.49,228,5.0,3.0,0,1,1,0,0,0,0,1
517000000,1,84.96,17,744.0,444,7,97.7,196,3.0,2.0,0,1,0,0,1,0,0,1
1465000000,1,84.78,13,787.0,834,10,107.18,20,3.0,2.0,1,0,0,1,0,0,0,1
290000000,1,33.18,10,1753.0,1753,11,46.73,536,2.0,1.0,1,0,0,1,0,1,0,0
340000000,1,84.8768,5,648.0,554,7,110.02,554,3.0,2.0,0,1,0,0,1,0,0,1
475000000,1,59.67,9,581.0,581,6,73.68,171,2.0,1.0,0,1,0,0,1,0,0,1
1020000000,1,153.86,30,4890.0,3293,51,194.46,68,4.0,2.0,1,0,0,1,0,0,0,1
590000000,1,59.94,7,4329.0,5150,42,85.9,864,3.0,1.0,0,1,0,0,1,1,0,0
75000000,1,39.84,5,275.0,458,4,54.83,89,1.0,1.0,1,0,0,1,0,1,0,0
870000000,1,81.23,8,240.0,208,2,113.02,119,3.0,2.0,0,1,0,1,0,0,0,1
250000000,1,61.52,14,2800.0,2830,23,85.72,240,2.0,1.0,1,0,0,1,0,1,0,0
118000000,0,84.99,20,423.0,420,7,106.5,210,3.0,1.0,0,1,0,0,1,0,0,1
70000000,0,23.04,21,220.0,448,1,36.36,38,1.0,1.0,0,1,0,0,1,0,0,1
399000000,0,84.6528,9,4599.0,2752,14,114.16,270,3.0,2.0,0,1,0,0,1,0,0,1
290000000,1,84.71,15,327.0,499,5,107.45,36,3.0,2.0,0,1,0,0,1,0,0,1
400000000,1,59.96,13,3384.0,3404,35,83.76,705,3.0,1.0,0,1,0,0,1,1,0,0
237000000,0,84.975,6,808.0,710,9,107.58,150,3.0,2.0,0,1,0,0,1,0,0,1
370000000,1,59.94,3,798.0,644,8,85.04,262,2.0,1.0,0,1,0,0,1,1,0,0
249000000,1,49.77,6,459.0,602,7,70.41,345,2.0,1.0,0,1,1,0,0,1,0,0
242500000,1,84.62,5,161.0,170,1,109.29,136,3.0,2.0,0,1,0,0,1,0,0,1
615000000,1,84.85799999999998,11,1108.0,810,17,109.48,157,3.0,2.0,0,1,0,0,1,0,0,1
143000000,0,63.238,5,4515.0,2637,30,80.31,92,3.0,1.0,0,1,0,0,1,0,0,1
340000000,0,84.9788,6,785.0,499,9,109.37,245,3.0,2.0,0,1,0,0,1,0,0,1
227000000,1,83.04,15,188.0,298,2,101.57,228,3.0,2.0,0,1,0,0,1,0,0,1
720000000,1,131.4,1,1920.0,960,13,151.44,90,4.0,2.0,0,1,1,0,0,0,0,1
399000000,1,84.63,1,128.0,120,3,112.21,60,3.0,2.0,0,1,0,0,1,0,0,1
150000000,0,59.87,11,194.0,241,3,86.39,181,3.0,1.0,0,1,0,0,1,0,0,1
159000000,0,116.15,1,132.0,270,2,136.17,24,4.0,2.0,0,1,0,0,1,0,0,1
327000000,1,84.94,6,139.0,124,2,109.5,16,3.0,2.0,0,1,0,0,1,0,0,1
374000000,0,84.98,6,1578.0,922,9,108.06,150,3.0,2.0,0,1,0,0,1,0,0,1
253000000,0,84.94,21,500.0,412,5,105.52,316,3.0,2.0,0,1,0,0,1,0,0,1
360000000,1,84.53,4,327.0,282,7,110.45,64,3.0,2.0,1,0,0,1,0,0,0,1
420000000,1,84.32,7,912.0,912,8,107.46,72,3.0,1.0,1,0,0,0,1,1,0,0
280000000,1,59.93,1,337.0,384,8,83.64,218,2.0,1.0,0,1,0,0,1,0,0,1
730000000,1,114.67,15,690.0,582,11,138.88,116,4.0,2.0,0,1,0,0,1,0,0,1
468000000,0,145.64,12,948.0,540,4,171.72,128,4.0,2.0,0,1,0,0,1,0,0,1
1170000000,1,84.99,31,7876.0,5563,65,109.2,1201,3.0,2.0,1,0,0,1,0,0,0,1
483000000,1,84.94,15,2202.0,1896,23,117.77,12,3.0,2.0,0,1,0,0,1,0,0,1
290700000,1,84.705,23,1665.0,2017,22,105.19,805,3.0,2.0,0,1,0,0,1,0,0,1
186000000,1,61.32,4,238.0,238,2,80.68,140,2.0,1.0,0,1,0,0,1,1,0,0
580000000,1,84.91,8,692.0,807,8,103.1,556,3.0,2.0,0,1,0,0,1,0,0,1
690000000,1,84.67,13,546.0,436,8,108.65,154,3.0,2.0,1,0,0,1,0,0,0,1
950000000,1,84.99,4,7876.0,5563,65,109.35,828,3.0,2.0,1,0,0,1,0,0,0,1
255000000,1,84.97,9,449.0,704,5,100.18,704,3.0,2.0,0,1,0,0,1,0,0,1
480000000,1,84.75,7,456.0,811,6,108.45,324,3.0,2.0,0,1,0,0,1,0,0,1
150000000,0,83.11,8,735.0,722,9,109.53,192,3.0,2.0,0,1,0,0,1,0,0,1
532000000,1,71.64,11,873.0,1860,26,88.99,1179,3.0,1.0,1,0,0,1,0,0,0,1
386000000,1,84.94,13,1377.0,1542,16,108.21,420,3.0,2.0,0,1,0,0,1,0,0,1
225000000,1,41.85,9,198.0,505,6,56.83,445,1.0,1.0,1,0,0,1,0,1,0,0
1030000000,1,106.645,7,1066.0,1001,9,133.4,156,4.0,2.0,1,0,0,1,0,0,0,1
317000000,0,94.412,1,1018.0,718,8,121.36,535,3.0,2.0,0,1,0,0,1,0,0,1
540000000,1,84.95,4,489.0,220,2,104.55,55,3.0,2.0,0,1,0,0,1,0,0,1
97500000,0,59.94,11,486.0,486,4,79.09,186,3.0,1.0,0,1,0,0,1,0,0,1
895000000,1,59.98,8,636.0,547,9,84.53,172,3.0,2.0,1,0,0,1,0,0,0,1
200000000,1,34.44,4,272.0,840,4,44.84,255,2.0,1.0,1,0,0,1,0,1,0,0
427000000,1,84.84,9,709.0,710,8,104.78,650,3.0,2.0,0,1,1,0,0,0,0,1
650000000,1,84.85799999999998,2,1108.0,810,17,109.48,157,3.0,2.0,0,1,0,0,1,0,0,1
128000000,1,49.94,10,4471.0,2634,21,73.22,270,2.0,1.0,1,0,0,1,0,1,0,0
700000000,1,71.2,9,2100.0,2100,21,92.59,532,3.0,1.0,1,0,0,1,0,1,0,0
550000000,1,59.81,4,250.0,248,2,84.91,83,2.0,1.0,1,0,1,0,0,1,0,0
320000000,1,84.94,7,3481.0,2678,25,102.02,164,3.0,2.0,0,1,0,0,1,0,0,1
250000000,1,45.96,17,340.0,461,1,61.38,66,1.0,1.0,0,1,0,0,1,1,0,0
102500000,0,48.598,14,423.0,476,2,72.0,114,2.0,1.0,0,1,0,0,1,1,0,0
228500000,0,59.445,30,2269.0,1950,15,87.37,232,3.0,1.0,0,1,0,0,1,0,0,1
1230000000,1,154.44,1,1104.0,1882,34,190.1,84,4.0,2.0,1,0,0,1,0,1,0,0
293000000,1,59.37,4,351.0,339,5,78.5,70,3.0,1.0,0,1,0,0,1,0,0,1
625000000,1,115.35,4,1353.0,960,17,137.88,888,4.0,2.0,0,1,1,0,0,0,0,1
