,model_id,exclusive_use_area,city,supply_area,apartment_building_count_in_sites,total_parking_capacity_in_site,room_count,total_household_count_in_sites,floor,bathroom_count,heat_type_district,total_household_count_of_area_type,heat_fuel_cogeneration,heat_type_individual,heat_fuel_gas,front_door_structure_mixed,front_door_structure_stairway,front_door_structure_corridor,heat_type_central
0,XGBoost_grid_1_AutoML_20190425_061247_model_5,1.4367470788480137e+21,9.702526889709326e+20,8.88728176672551e+20,4.304388527353296e+20,3.2131184868953843e+20,2.5203304599044227e+20,2.4284399630856015e+20,1.8863075470980887e+20,1.2756379094219961e+20,1.0795258488983808e+20,8.249526671649853e+19,7.383807279920421e+19,3.4526037302677864e+19,2.7993634212897882e+19,2.403760896834588e+19,1.1834382299334443e+19,1.063014658705929e+19,6.091229134376141e+17
1,XGBoost_grid_1_AutoML_20190425_054218_model_6,1.784638891063316e+21,1.1575412830308548e+21,1.0951790945657254e+21,3.8935230222859606e+20,3.102062886677916e+20,2.9506133403182825e+20,2.8781462001892406e+20,2.7856672447472337e+20,1.8925163573187445e+20,1.5564306611578497e+20,1.112034009685206e+20,8.269866757154406e+19,7.058461789261503e+19,3.7453333080003576e+19,3.4344415573955314e+19,1.2911231892950352e+19,7.478936916004438e+18,1.1095065320698675e+18
2,GBM_1_AutoML_20190425_061247,8.173732849139812e+20,5.423377519830232e+20,5.351627789048081e+20,1.8929389216275313e+20,1.878783720970613e+20,1.7664794273877118e+20,1.2482950783406021e+20,1.1371860858384889e+20,1.1062482035779882e+20,8.341979766578374e+19,7.631511416690914e+19,6.6620623387784905e+19,3.821456016428499e+19,2.76804229325631e+19,1.392081116615567e+19,1.260987554698625e+19,1.166667379074977e+19,1.691272771574694e+18
3,XGBoost_grid_1_AutoML_20190425_034434_model_5,1.2841203689514043e+21,7.729571669077372e+20,7.132066440140177e+20,5.344164480040598e+20,2.993818869634066e+20,2.4749533511433165e+20,2.4440136217032812e+20,1.7090738373405966e+20,1.3198986180567237e+20,6.453659585435874e+19,3.881200399649289e+19,3.2156545764355473e+19,2.6082124451916284e+19,1.2259486479981478e+19,9.603112566763028e+18,9.516272038889652e+18,4.2449032330524754e+18,9.305090627249111e+17
4,XGBoost_grid_1_AutoML_20190425_061247_model_2,1.2615701419297184e+21,1.1168311349367276e+21,9.5369562715337e+20,3.5136563564037695e+20,3.148364112971935e+20,2.8833234046202518e+20,2.8110536488186282e+20,2.6271875090005308e+20,1.8934351971958443e+20,1.7063115122879024e+20,1.343588959471576e+20,8.220939369327677e+19,7.662302140315153e+19,4.401201229866415e+19,3.1514666269222633e+19,1.8728676447257362e+19,1.1392054269038297e+19,5.567158255710372e+17
5,XGBoost_grid_1_AutoML_20190425_054218_model_7,1.226621223658905e+21,8.981890432210053e+20,7.165594331991067e+20,3.86539733892559e+20,3.2663703858955525e+20,2.9252012516552632e+20,2.577774576838975e+20,2.265658234163597e+20,2.2282544318834016e+20,1.936354501644685e+20,1.0751534869789016e+20,9.396172163885354e+19,4.325932182266079e+19,2.642813636313088e+19,2.136288860410636e+19,2.088987650281387e+19,1.4174206814916182e+19,2.6993282591028675e+18
6,XGBoost_grid_1_AutoML_20190425_040839_model_7,1.6830079878597947e+21,1.2157395417967593e+21,1.0247355484130005e+21,4.8650602926818565e+20,4.8579745119868866e+20,4.5028452744329114e+20,4.029176720718173e+20,3.0842036512493457e+20,2.8707485100357032e+20,2.4982684512298415e+20,2.0240459195765647e+20,1.6151795905313164e+20,6.93395749057866e+19,5.501188726274916e+19,3.2448257194320724e+19,2.9807999922542215e+19,1.5034637335813685e+19,2.4179406935666196e+18
7,GBM_1_AutoML_20190425_031629,7.181279525068268e+20,5.6048648442514034e+20,5.144568462992747e+20,1.9384942392332675e+20,1.8884546734048097e+20,1.588759469607952e+20,1.4462058519263288e+20,1.166389730398731e+20,1.0258810284229106e+20,1.0199755954505908e+20,8.924993608183343e+19,7.1305224619319886e+19,4.723166381976899e+19,2.0038828114636177e+19,1.2105508672604471e+19,1.0025334927433662e+19,8.874196280931254e+18,1.5925195849701786e+18
8,GBM_grid_1_AutoML_20190425_034434_model_4,8.005987836769096e+20,5.142840910323185e+20,3.983811750565438e+20,3.107087566855922e+20,2.7955188689321066e+20,2.4134037457515787e+20,1.8179888203601805e+20,1.547380009203579e+20,1.5203577077519142e+20,1.3065041035243658e+20,1.2517134160108926e+20,9.24249650230366e+19,8.818719212289026e+19,4.733464407882649e+19,2.330479106550294e+19,1.891341858997954e+19,1.5638301105299915e+19,2.32472684654284e+18
9,XGBoost_grid_1_AutoML_20190425_044008_model_1,1.5027750566723343e+21,9.548919661731345e+20,8.26541628592889e+20,3.6061103309415934e+20,3.2120562707020225e+20,2.8856601746925316e+20,2.868571125168986e+20,1.8318708143678292e+20,1.6740870255010434e+20,1.1019945889143089e+20,1.0404982878462856e+20,8.923589751736998e+19,8.711530022720399e+19,6.918520347324685e+19,2.2016590048261046e+19,9.245521698596323e+18,6.461516475625636e+18,2.111796936536228e+17
10,XGBoost_grid_1_AutoML_20190425_061247_model_7,1.2659247005569206e+21,7.938832129450584e+20,7.801337936514405e+20,5.4228462358116906e+20,2.92808742569771e+20,2.2684444845893118e+20,2.2345990537803203e+20,1.8296988830787856e+20,1.598332257644021e+20,4.91128402539635e+19,3.6889521109466087e+19,2.8054960573448716e+19,1.9692868979979715e+19,9.034271430040093e+18,7.777873786631619e+18,7.658991840657408e+18,2.1088090136877466e+18,
11,XGBoost_1_AutoML_20190425_044008,9.715449405890112e+20,9.428819918668442e+20,6.867480665719602e+20,3.1886108125169084e+20,2.7285777862833367e+20,2.550603621415235e+20,2.4117754130113076e+20,1.5215682260736305e+20,1.2900589280100457e+20,1.128740605084146e+20,1.0361347220198287e+20,8.96075060592792e+19,4.964693462422546e+19,4.552190124834475e+19,2.383749125502088e+19,8.889614732487557e+18,6.664993746729304e+18,8.638500020598866e+17
12,GBM_1_AutoML_20190425_044008,7.996395873250239e+20,5.3192025754184555e+20,5.243435493031202e+20,2.370543902891568e+20,2.2143940762645876e+20,1.6213127543519812e+20,1.5548795581143135e+20,9.866285512722376e+19,8.59234648070669e+19,6.754925331641847e+19,5.378015276466333e+19,4.0904401012429685e+19,3.411217452891321e+19,2.1881875684602675e+19,1.8627345455641526e+19,9.354862632420508e+18,4.631086351343682e+18,1.2368470897160356e+18
13,XGBoost_1_AutoML_20190425_054218,1.0386454084433436e+21,1.0160015909919014e+21,6.637217949959124e+20,3.088008841090753e+20,2.884074415042488e+20,2.7747284234648158e+20,2.5582196305975837e+20,1.675753533285031e+20,1.0027042029186947e+20,9.848776889561671e+19,9.737132478877296e+19,4.9771641233047814e+19,3.3336244775145177e+19,3.150010873527088e+19,1.7460499735780524e+19,9.64864444278086e+18,6.767347833914786e+18,6.322990380031672e+17
14,XGBoost_1_AutoML_20190425_031629,1.178115626084776e+21,8.143577027509915e+20,6.389432713210967e+20,3.350990911831519e+20,3.1723732247979124e+20,2.6297983653313826e+20,2.4668289277842843e+20,1.676797277683046e+20,1.1688009154179786e+20,8.891068836615291e+19,7.785509894886523e+19,6.902374678777771e+19,4.706910322462556e+19,3.869155029864677e+19,2.1272616500442694e+19,1.9925433281440383e+19,9.009216308822147e+18,5.4602087596766e+17
15,XGBoost_grid_1_AutoML_20190425_061247_model_6,1.6135623408682533e+21,1.4276892140974648e+21,1.0375562410209617e+21,5.317538354618654e+20,4.2421730577197774e+20,3.848800166923846e+20,3.766652750502004e+20,2.57257995614378e+20,2.510956639492516e+20,2.4948979643055918e+20,1.8376195889234235e+20,1.3781666650246663e+20,1.2755608556471216e+20,4.554773977159749e+19,1.9598559469618856e+19,1.88085009914339e+19,1.6647606600109916e+19,1.1984739964676997e+18
16,XGBoost_grid_1_AutoML_20190425_044008_model_4,1.0200340718770025e+21,8.222140211947068e+20,7.331623050691289e+20,3.695518042543966e+20,2.7905033366908436e+20,2.4604711117478324e+20,2.2492091883683473e+20,1.949211926737107e+20,1.6373612260709997e+20,8.565049565230871e+19,7.248813640308595e+19,6.4994542447327445e+19,5.261543130126719e+19,3.6857699043934994e+19,2.0190758631362265e+19,1.6644931488319537e+19,1.1394405024898482e+19,4.0774421145840517e+18
17,XGBoost_grid_1_AutoML_20190425_040839_model_5,1.2393416408064128e+21,8.783801713662487e+20,7.169384392552476e+20,4.03602359952666e+20,3.462503557042421e+20,3.119687090500933e+20,2.975298168010226e+20,2.540661221550373e+20,1.9782430799131836e+20,9.219482404520355e+19,6.961584259542811e+19,6.782102620252563e+19,5.325039486826132e+19,4.946770543280495e+19,2.3221426093884965e+19,2.043607067063537e+19,1.3730233915224883e+19,1.1225926445857505e+18
18,XGBoost_grid_1_AutoML_20190425_040839_model_6,1.296213659850801e+21,9.034965353818615e+20,6.311718879516038e+20,4.134572914685153e+20,3.528055912524845e+20,3.485899757106611e+20,2.7822791656369396e+20,2.6080628676297857e+20,2.51328707637782e+20,1.2304424399817985e+20,1.1800705577589617e+20,9.669188817545855e+19,7.12154384997957e+19,4.960879916292768e+19,3.883635158197836e+19,2.765126388419448e+19,1.2467246898631148e+19,2.5651587034560594e+18
19,GBM_grid_1_AutoML_20190425_044008_model_7,1.1462571623207571e+21,7.925590139171231e+20,7.295297297571895e+20,3.212104473291784e+20,2.8739238996167203e+20,2.5655979693464722e+20,2.1620198514261754e+20,1.421278779832554e+20,1.1703989016373232e+20,1.1059303127761656e+20,7.628892819798203e+19,5.192886105651177e+19,4.581489470886799e+19,2.750473856663054e+19,2.042877211245019e+19,2.0364252770132296e+19,1.464743332097609e+19,1.464433902037762e+18
20,XGBoost_grid_1_AutoML_20190425_061247_model_4,1.386429063898845e+21,1.2489224860636902e+21,1.1325363127372753e+21,4.388662135380467e+20,3.544024691641082e+20,3.395697934226193e+20,3.0438689907741504e+20,2.9501404623574086e+20,2.4423311050299933e+20,2.2337498789599563e+20,1.9436128616847507e+20,1.846059088334511e+20,1.7141412665306907e+20,7.569096979433233e+19,5.159557709190031e+19,3.3116744870845743e+19,1.6846753444667589e+19,2.8282941010933187e+18
21,XGBoost_grid_1_AutoML_20190425_054218_model_9,1.7256786091667117e+21,1.3962813917711596e+21,1.1445185617583596e+21,3.911444182209407e+20,3.661307925718274e+20,3.543250283611407e+20,2.9332955923761594e+20,2.1295277874895808e+20,1.3750984118566597e+20,1.36492722561229e+20,1.2679792391884898e+20,7.493720619498026e+19,5.1918798326094365e+19,4.621244732714621e+19,2.763221594475489e+19,2.6569449995579163e+19,1.2879653919000625e+19,1.6580273882414449e+18
