,model_id,ntrees,learn_rate,max_depth,sample_rate,col_sample_rate,score_each_iteration,seed,stopping_rounds,stopping_metric,stopping_tolerance
0,GBM_1_AutoML_20190425_031629,62,0.1,15,0.8,0.8,False,7224883551881429633,0,deviance,0.011609086505314302
1,GBM_2_AutoML_20190425_031629,62,0.1,15,0.8,0.8,False,7224883551881429633,0,deviance,0.011609086505314302
2,GBM_3_AutoML_20190425_031629,62,0.1,15,0.8,0.8,False,7224883551881429633,0,deviance,0.011609086505314302
3,GBM_4_AutoML_20190425_031629,62,0.1,15,0.8,0.8,False,7224883551881429633,0,deviance,0.011609086505314302
4,GBM_5_AutoML_20190425_031629,62,0.1,15,0.8,0.8,False,7224883551881429633,0,deviance,0.011609086505314302
5,GBM_grid_1_AutoML_20190425_031629_model_1,94,0.05,9,0.9,1.0,False,8207528746136263964,0,deviance,0.011609086505314302
6,GBM_grid_1_AutoML_20190425_031629_model_2,30,0.8,15,0.7,1.0,False,-5601301954470354295,0,deviance,0.011609086505314302
7,GBM_grid_1_AutoML_20190425_031629_model_3,104,0.05,15,0.7,0.7,False,47605658123363556,0,deviance,0.011609086505314302
8,GBM_grid_1_AutoML_20190425_031629_model_4,90,0.001,17,0.9,1.0,False,-4890404642995617793,0,deviance,0.011609086505314302
9,GBM_grid_1_AutoML_20190425_031629_model_5,135,0.005,6,0.8,0.7,False,3753904886134921359,0,deviance,0.011609086505314302
10,GBM_grid_1_AutoML_20190425_031629_model_6,5,0.8,17,1.0,0.7,False,-1305402648528411279,0,deviance,0.011609086505314302
