,model_id,mean_residual_deviance,rmse,mse,mae,rmsle,system_date,runtime
0,GBM_1_AutoML_20190425_031629,23775031990128900,154191543.18615824,23775031990128900,93754997.58951291,0.32221306437158137,2019-04-25,300
1,XGBoost_1_AutoML_20190425_031629,24001794278085524,154925124.74768424,24001794278085524,92343890.40053909,0.31788141703632194,2019-04-25,300
2,XGBoost_grid_1_AutoML_20190425_031629_model_1,24562662779718170,156724799.5044759,24562662779718170,91800211.04366577,0.3147064273637741,2019-04-25,300
3,XGBoost_2_AutoML_20190425_031629,24645684223842348,156989439.84817052,24645684223842348,91820134.7929919,0.3169278162171524,2019-04-25,300
4,XGBoost_grid_1_AutoML_20190425_031629_model_2,24760693062879860,157355308.34032848,24760693062879860,91812991.18167116,0.3256404216870056,2019-04-25,300
5,GBM_4_AutoML_20190425_031629,24814875998401084,157527381.74171844,24814875998401084,94635071.73507772,0.32495766337992205,2019-04-25,300
6,XRT_1_AutoML_20190425_031629,24821773831486484,157549274.2969211,24821773831486484,94415308.89892767,0.3253525542337009,2019-04-25,300
7,DRF_1_AutoML_20190425_031629,24969446332052852,158017234.2880765,24969446332052852,93945780.40816893,0.3242510610147755,2019-04-25,300
8,GBM_grid_1_AutoML_20190425_031629_model_3,25135162788820784,158540729.11659262,25135162788820784,94510062.05599141,0.32367695730487833,2019-04-25,300
9,GBM_grid_1_AutoML_20190425_031629_model_1,25229476606959136,158837894.1152241,25229476606959136,94007503.5975976,0.32146823335561503,2019-04-25,300
10,GBM_2_AutoML_20190425_031629,25308852080644044,159087561.04939204,25308852080644044,96784539.8033259,0.3279367156954517,2019-04-25,300
11,GBM_3_AutoML_20190425_031629,25526087376836304,159768856.09165606,25526087376836304,96092158.51362908,0.3261237257059677,2019-04-25,300
12,XGBoost_3_AutoML_20190425_031629,27837050651489496,166844390.5304865,27837050651489496,102114128.88355796,0.3416581228891768,2019-04-25,300
13,GBM_grid_1_AutoML_20190425_031629_model_6,31237756913929188,176742063.22754407,31237756913929188,106545510.47567104,,2019-04-25,300
14,GBM_5_AutoML_20190425_031629,31877250225972932,178542012.49558306,31877250225972932,105331926.36209331,0.3437844565599428,2019-04-25,300
15,DeepLearning_1_AutoML_20190425_031629,35412679672664224,188182570.05542308,35412679672664224,117914172.98488294,,2019-04-25,300
16,DeepLearning_grid_1_AutoML_20190425_031629_model_2,36270052585884520,190446981.03641468,36270052585884520,120694699.68799716,,2019-04-25,300
17,DeepLearning_grid_1_AutoML_20190425_031629_model_3,37733681350905810,194251592.91729325,37733681350905810,120966057.70105655,,2019-04-25,300
18,GBM_grid_1_AutoML_20190425_031629_model_2,38235646980523060,195539374.50171784,38235646980523060,124582113.27639335,,2019-04-25,300
19,DeepLearning_grid_1_AutoML_20190425_031629_model_1,40993065259361710,202467442.46757728,40993065259361710,127887219.6413645,,2019-04-25,300
20,GBM_grid_1_AutoML_20190425_031629_model_5,61164707118558630,247314995.74137965,61164707118558630,158654515.94123682,0.5747952575968042,2019-04-25,300
21,GBM_grid_1_AutoML_20190425_031629_model_4,86785940134701810,294594535.14059246,86785940134701810,197213631.56299332,0.6989178694464527,2019-04-25,300
22,StackedEnsemble_AllModels_AutoML_20190425_031629,98653664643256460,314091809.2584658,98653664643256460,211071755.11965653,0.7394785055577259,2019-04-25,300
23,StackedEnsemble_BestOfFamily_AutoML_20190425_031629,98660394320147570,314102521.98947334,98660394320147570,211079625.54042345,0.7395022928432888,2019-04-25,300
24,GLM_grid_1_AutoML_20190425_031629_model_1,98665337105472110,314110389.99923587,98665337105472110,211100578.88559082,0.7395898448568036,2019-04-25,300
