,model_id,exclusive_use_area,city,supply_area,apartment_building_count_in_sites,total_parking_capacity_in_site,room_count,total_household_count_in_sites,floor,bathroom_count,heat_type_district,total_household_count_of_area_type,heat_fuel_cogeneration,heat_type_individual,heat_fuel_gas,front_door_structure_mixed,front_door_structure_stairway,front_door_structure_corridor,heat_type_central
0,GBM_1_AutoML_20190425_031629,7.181279525068268e+20,5.6048648442514034e+20,5.144568462992747e+20,1.9384942392332675e+20,1.8884546734048097e+20,1.588759469607952e+20,1.4462058519263288e+20,1.166389730398731e+20,1.0258810284229106e+20,1.0199755954505908e+20,8.924993608183343e+19,7.1305224619319886e+19,4.723166381976899e+19,2.0038828114636177e+19,1.2105508672604471e+19,1.0025334927433662e+19,8.874196280931254e+18,1.5925195849701786e+18
1,XGBoost_1_AutoML_20190425_031629,1.178115626084776e+21,8.143577027509915e+20,6.389432713210967e+20,3.350990911831519e+20,3.1723732247979124e+20,2.6297983653313826e+20,2.4668289277842843e+20,1.676797277683046e+20,1.1688009154179786e+20,8.891068836615291e+19,7.785509894886523e+19,6.902374678777771e+19,4.706910322462556e+19,3.869155029864677e+19,2.1272616500442694e+19,1.9925433281440383e+19,9.009216308822147e+18,5.4602087596766e+17
2,XGBoost_grid_1_AutoML_20190425_031629_model_1,1.1703775975000234e+21,7.776846798790811e+20,7.772695042884328e+20,3.401825644469184e+20,2.6927959835564363e+20,2.677307647041072e+20,2.0010571545411636e+20,1.4663693118829966e+20,1.2821637308351722e+20,1.0662361837948476e+20,6.664174720517774e+19,4.799301844739922e+19,4.409431734107295e+19,2.8536467501577404e+19,2.3583128036027924e+19,5.43821474754986e+18,3.247786649270092e+18,1.9957280223422054e+17
3,XGBoost_2_AutoML_20190425_031629,1.1671183283759465e+21,7.854215121951827e+20,6.162991723946778e+20,3.8995409572880345e+20,2.7230132019156274e+20,2.469342675248171e+20,2.2081704886076545e+20,1.6635855459636897e+20,1.1868947426474512e+20,1.0155623316985584e+20,7.969665778008772e+19,5.973985323288363e+19,5.525151922495318e+19,4.9275990187339416e+19,1.7309721507240346e+19,8.601130918905643e+18,6.691416110656389e+18,1.595906939777188e+17
4,XGBoost_grid_1_AutoML_20190425_031629_model_2,1.4342402627054286e+21,9.389252277504783e+20,6.592726607765355e+20,5.615136217995296e+20,5.3013830983303456e+20,3.8311003167008385e+20,3.657003469636926e+20,2.9624037993271106e+20,2.624950486623123e+20,2.5843246754688926e+20,1.9848281869933294e+20,1.3155330291288716e+20,1.2509346978956365e+20,8.636894293817662e+19,3.9841419558974915e+19,2.893817187576211e+19,2.7425925573151556e+19,2.3139202965092434e+18
5,GBM_4_AutoML_20190425_031629,1.023531257725144e+21,4.5345228201556496e+20,4.176675238014091e+20,1.8531497948415735e+20,1.6209869470664386e+20,1.615924443688437e+20,1.4409931112795079e+20,1.3312652813037417e+20,9.710162778061904e+19,7.65179696641873e+19,5.582659019455909e+19,4.085473387317979e+19,3.76248832822157e+19,2.1790948272008856e+19,1.6542996864820052e+19,7.447474940531442e+18,5.408306382006911e+18,1.4922958359232512e+17
6,XRT_1_AutoML_20190425_031629,1.7194459087574076e+21,1.5844423471526524e+21,1.2784984692415623e+21,4.814837416274816e+20,4.742779470393167e+20,3.716645554295868e+20,3.706216906408738e+20,3.268057476537212e+20,3.086857960279727e+20,2.7668939193317956e+20,2.3726254103443433e+20,1.7623318936058803e+20,1.297613452502169e+20,1.0745890416896665e+20,5.946514245170705e+19,4.813510173798695e+19,3.471497298274838e+19,3.41849352606371e+18
7,DRF_1_AutoML_20190425_031629,3.256553453501559e+21,2.295166381872082e+21,2.260456858068961e+21,8.055678725470154e+20,7.857482342743996e+20,7.552601314344965e+20,6.652554114065205e+20,6.373954404241648e+20,6.30196436419813e+20,6.244708131810532e+20,5.3620771957147435e+20,4.002490430019957e+20,2.487646289296223e+20,1.7749400374220528e+20,1.0437173940096231e+20,8.578724851052498e+19,5.449884194308935e+19,6.376715541821784e+18
8,GBM_grid_1_AutoML_20190425_031629_model_3,1.2636623454316087e+21,1.0442414828240723e+21,8.366149143219216e+20,4.1714855431309885e+20,3.425899495539805e+20,2.998383690068871e+20,2.6955598919058745e+20,1.8554371308710684e+20,1.7170350052131367e+20,1.7129249427875797e+20,1.3706195292506817e+20,1.0016272972499858e+20,7.0155236611735945e+19,4.3753930531346055e+19,3.823099126605047e+19,2.2185881853589717e+19,1.4596063038214767e+19,2.3453069210759987e+17
9,GBM_grid_1_AutoML_20190425_031629_model_1,1.9421376513318102e+21,1.0374522360170671e+21,9.770850014493745e+20,8.620605336915416e+20,3.6841024730197446e+20,3.485739316369886e+20,2.8901535708519963e+20,1.6950451245013375e+20,1.593304410872527e+20,6.533374618254285e+19,4.867470246248081e+19,3.7887833687021584e+19,3.111388548480526e+19,1.8516030898445484e+19,1.3630061808864723e+19,1.1943817791158616e+19,2.448754232057135e+18,0.0
