,model_id,mean_residual_deviance,rmse,mse,mae,rmsle,system_date,runtime
0,XGBoost_grid_1_AutoML_20190425_034434_model_5,23532474855228316,153402981.89809844,23532474855228316,90918845.49757412,0.31368784715308506,2019-04-25,500
1,GBM_1_AutoML_20190425_031629,23775031990128900,154191543.18615824,23775031990128900,93754997.58951291,0.32221306437158137,2019-04-25,500
2,GBM_grid_1_AutoML_20190425_034434_model_4,23797462236776000,154264261.04829335,23797462236776000,91123347.76293024,0.3213943308398986,2019-04-25,500
3,XGBoost_1_AutoML_20190425_031629,24001794278085524,154925124.74768424,24001794278085524,92343890.40053909,0.31788141703632194,2019-04-25,500
4,XGBoost_grid_1_AutoML_20190425_034434_model_3,24241136393363876,155695653.09720075,24241136393363876,92258282.48571429,0.3197195999672125,2019-04-25,500
5,GBM_1_AutoML_20190425_034434,24265166305648100,155772803.48523006,24265166305648100,94068502.12981234,0.3203401257870397,2019-04-25,500
6,XGBoost_1_AutoML_20190425_034434,24287590296554900,155844763.45567372,24287590296554900,92332236.71374664,0.3172798328283274,2019-04-25,500
7,XGBoost_2_AutoML_20190425_034434,24352497787983850,156052868.56698233,24352497787983850,91627074.0787062,0.3171568759489795,2019-04-25,500
8,XGBoost_grid_1_AutoML_20190425_034434_model_1,24365453118266668,156094372.47468808,24365453118266668,91210890.13638814,0.3172410806480649,2019-04-25,500
9,XGBoost_grid_1_AutoML_20190425_034434_model_4,24539476828015330,156650811.76941067,24539476828015330,91960965.7245283,0.3154096132962391,2019-04-25,500
10,XGBoost_grid_1_AutoML_20190425_031629_model_1,24562662779718170,156724799.5044759,24562662779718170,91800211.04366577,0.3147064273637741,2019-04-25,500
11,GBM_4_AutoML_20190425_034434,24578164892836296,156774248.18137798,24578164892836296,94318915.93242778,0.3218864079038672,2019-04-25,500
12,XGBoost_2_AutoML_20190425_031629,24645684223842348,156989439.84817052,24645684223842348,91820134.7929919,0.3169278162171524,2019-04-25,500
13,XGBoost_grid_1_AutoML_20190425_031629_model_2,24760693062879860,157355308.34032848,24760693062879860,91812991.18167116,0.3256404216870056,2019-04-25,500
14,GBM_4_AutoML_20190425_031629,24814875998401084,157527381.74171844,24814875998401084,94635071.73507772,0.32495766337992205,2019-04-25,500
15,XRT_1_AutoML_20190425_031629,24821773831486484,157549274.2969211,24821773831486484,94415308.89892767,0.3253525542337009,2019-04-25,500
16,DRF_1_AutoML_20190425_031629,24969446332052852,158017234.2880765,24969446332052852,93945780.40816893,0.3242510610147755,2019-04-25,500
17,GBM_grid_1_AutoML_20190425_031629_model_3,25135162788820784,158540729.11659262,25135162788820784,94510062.05599141,0.32367695730487833,2019-04-25,500
18,DRF_1_AutoML_20190425_034434,25225871239041110,158826544.50387412,25225871239041110,94560522.416278,0.32378776089386474,2019-04-25,500
19,GBM_grid_1_AutoML_20190425_031629_model_1,25229476606959136,158837894.1152241,25229476606959136,94007503.5975976,0.32146823335561503,2019-04-25,500
20,GBM_2_AutoML_20190425_031629,25308852080644044,159087561.04939204,25308852080644044,96784539.8033259,0.3279367156954517,2019-04-25,500
21,GBM_2_AutoML_20190425_034434,25399535866277716,159372318.38144827,25399535866277716,97020315.40667504,0.32891699850227424,2019-04-25,500
22,GBM_3_AutoML_20190425_031629,25526087376836304,159768856.09165606,25526087376836304,96092158.51362908,0.3261237257059677,2019-04-25,500
23,GBM_3_AutoML_20190425_034434,25628186250929108,160088057.80235168,25628186250929108,96387000.97903717,0.32625916645078146,2019-04-25,500
24,XRT_1_AutoML_20190425_034434,25770661484876564,160532431.25573274,25770661484876564,95167142.80071364,0.3246171883087283,2019-04-25,500
25,XGBoost_grid_1_AutoML_20190425_034434_model_7,25849360260450172,160777362.40046412,25849360260450172,98286014.97843666,0.3307810164451993,2019-04-25,500
26,XGBoost_grid_1_AutoML_20190425_034434_model_6,26009013237374040,161273101.40681875,26009013237374040,94853955.61078168,0.3205893701237505,2019-04-25,500
27,XGBoost_3_AutoML_20190425_034434,27718454336737972,166488601.2216391,27718454336737972,101925888.91428572,0.3405068059508514,2019-04-25,500
28,XGBoost_3_AutoML_20190425_031629,27837050651489496,166844390.5304865,27837050651489496,102114128.88355796,0.3416581228891768,2019-04-25,500
29,GBM_grid_1_AutoML_20190425_034434_model_5,28495865456328340,168807184.25567183,28495865456328340,103755011.0046677,0.3443803329781497,2019-04-25,500
30,GBM_grid_1_AutoML_20190425_034434_model_2,28687194649092680,169372945.44611508,28687194649092680,102668782.07817575,0.3608876227916363,2019-04-25,500
31,GBM_grid_1_AutoML_20190425_031629_model_6,31237756913929188,176742063.22754407,31237756913929188,106545510.47567104,,2019-04-25,500
32,GBM_5_AutoML_20190425_031629,31877250225972932,178542012.49558306,31877250225972932,105331926.36209331,0.3437844565599428,2019-04-25,500
33,GBM_5_AutoML_20190425_034434,32198802926682224,179440248.90386835,32198802926682224,105782277.5978903,0.3452924694112608,2019-04-25,500
34,DeepLearning_grid_1_AutoML_20190425_034434_model_4,32989426259939524,181629915.6525145,32989426259939524,111125531.81813093,0.3738283253496021,2019-04-25,500
35,DeepLearning_grid_1_AutoML_20190425_034434_model_6,34801551164101360,186551738.5716396,34801551164101360,120228204.64776798,0.4097668399471437,2019-04-25,500
36,DeepLearning_1_AutoML_20190425_031629,35412679672664224,188182570.05542308,35412679672664224,117914172.98488294,,2019-04-25,500
37,DeepLearning_1_AutoML_20190425_034434,35653415963947776,188821121.60441104,35653415963947776,119870082.77635229,0.4048587823753633,2019-04-25,500
