,model_id,exclusive_use_area,city,supply_area,apartment_building_count_in_sites,total_parking_capacity_in_site,room_count,total_household_count_in_sites,floor,bathroom_count,heat_type_district,total_household_count_of_area_type,heat_fuel_cogeneration,heat_type_individual,heat_fuel_gas,front_door_structure_mixed,front_door_structure_stairway,front_door_structure_corridor,heat_type_central
0,XGBoost_grid_1_AutoML_20190425_034434_model_5,1.2841203689514043e+21,7.729571669077372e+20,7.132066440140177e+20,5.344164480040598e+20,2.993818869634066e+20,2.4749533511433165e+20,2.4440136217032812e+20,1.7090738373405966e+20,1.3198986180567237e+20,6.453659585435874e+19,3.881200399649289e+19,3.2156545764355473e+19,2.6082124451916284e+19,1.2259486479981478e+19,9.603112566763028e+18,9.516272038889652e+18,4.2449032330524754e+18,9.305090627249111e+17
1,GBM_1_AutoML_20190425_031629,7.181279525068268e+20,5.6048648442514034e+20,5.144568462992747e+20,1.9384942392332675e+20,1.8884546734048097e+20,1.588759469607952e+20,1.4462058519263288e+20,1.166389730398731e+20,1.0258810284229106e+20,1.0199755954505908e+20,8.924993608183343e+19,7.1305224619319886e+19,4.723166381976899e+19,2.0038828114636177e+19,1.2105508672604471e+19,1.0025334927433662e+19,8.874196280931254e+18,1.5925195849701786e+18
2,GBM_grid_1_AutoML_20190425_034434_model_4,8.005987836769096e+20,5.142840910323185e+20,3.983811750565438e+20,3.107087566855922e+20,2.7955188689321066e+20,2.4134037457515787e+20,1.8179888203601805e+20,1.547380009203579e+20,1.5203577077519142e+20,1.3065041035243658e+20,1.2517134160108926e+20,9.24249650230366e+19,8.818719212289026e+19,4.733464407882649e+19,2.330479106550294e+19,1.891341858997954e+19,1.5638301105299915e+19,2.32472684654284e+18
3,XGBoost_1_AutoML_20190425_031629,1.178115626084776e+21,8.143577027509915e+20,6.389432713210967e+20,3.350990911831519e+20,3.1723732247979124e+20,2.6297983653313826e+20,2.4668289277842843e+20,1.676797277683046e+20,1.1688009154179786e+20,8.891068836615291e+19,7.785509894886523e+19,6.902374678777771e+19,4.706910322462556e+19,3.869155029864677e+19,2.1272616500442694e+19,1.9925433281440383e+19,9.009216308822147e+18,5.4602087596766e+17
4,XGBoost_grid_1_AutoML_20190425_034434_model_3,1.881543266457912e+21,1.2795321860935322e+21,8.839858862649298e+20,4.7835423246766834e+20,4.589053319237526e+20,4.127420987370656e+20,4.00302241772594e+20,2.2083226610169387e+20,1.7358938286527506e+20,1.535723426730549e+20,1.5344402526804692e+20,1.0103293600377864e+20,9.837822235311813e+19,7.174539870633722e+19,3.3793595432811626e+19,2.2167328694382625e+19,1.6325531057032004e+19,3.047830083118039e+17
5,GBM_1_AutoML_20190425_034434,7.865453010397e+20,5.658230740617139e+20,5.556162636406042e+20,1.9974873481490307e+20,1.983793414610197e+20,1.530632248089295e+20,1.454592486818353e+20,8.189918188066256e+19,7.271740216966329e+19,7.266074213646074e+19,7.2532688614243434e+19,3.932993554582654e+19,3.3112210484892795e+19,2.78175650178956e+19,1.3079840901558174e+19,1.2990281281429307e+19,4.125638107275985e+18,1.0390540875695391e+18
6,XGBoost_1_AutoML_20190425_034434,1.017849896426472e+21,9.837378032614192e+20,7.025072171992922e+20,4.195978440073187e+20,2.8743735558920156e+20,2.6062617796225584e+20,2.193488401978706e+20,1.587378307081605e+20,1.0886683320638033e+20,7.105904396586084e+19,5.587912046208772e+19,4.793919515419633e+19,4.607380770697668e+19,4.254370248069952e+19,1.3540209718642868e+19,1.2499704481883095e+19,1.12663998811928e+19,5.695022524488745e+17
7,XGBoost_2_AutoML_20190425_034434,9.803857881325162e+20,7.944698771652676e+20,7.126032320326942e+20,3.473533154004828e+20,2.677616213984291e+20,2.4480925459595395e+20,2.4076653505857507e+20,1.874974309004555e+20,1.7503996415775343e+20,1.3537889089401284e+20,1.2200793229876842e+20,6.901707055317385e+19,6.848053086905172e+19,4.833732831461402e+19,1.5781959996050244e+19,7.447002150531498e+18,7.342269269939323e+18,7640049961140224.0
8,XGBoost_grid_1_AutoML_20190425_034434_model_1,1.9215381866362175e+21,1.1376470538894107e+21,1.0876582942942492e+21,8.210916397250731e+20,3.4052237511255235e+20,3.375882095865763e+20,3.1612553150615624e+20,1.597538498209697e+20,1.3002556229241799e+20,1.0067756504958842e+20,7.084964857342067e+19,6.8094883762679054e+19,4.203328719285335e+19,1.7819653009970299e+19,1.576574110002892e+19,1.0019875852201755e+19,5.117102926413693e+18,7.021733455457157e+17
9,XGBoost_grid_1_AutoML_20190425_034434_model_4,1.2272707271676647e+21,7.619504397871879e+20,7.321169070056255e+20,4.199031388039335e+20,2.760594861196732e+20,2.4908420858130517e+20,2.3261276793322078e+20,1.555909932450935e+20,1.2389655902375274e+20,8.578921003926893e+19,6.191768230229862e+19,3.720540200403311e+19,3.6554101893273485e+19,1.877264811627538e+19,1.0370255023601877e+19,9.684865654334685e+18,6.887761399586488e+18,5.951811059974144e+17
10,XGBoost_grid_1_AutoML_20190425_031629_model_1,1.1703775975000234e+21,7.776846798790811e+20,7.772695042884328e+20,3.401825644469184e+20,2.6927959835564363e+20,2.677307647041072e+20,2.0010571545411636e+20,1.4663693118829966e+20,1.2821637308351722e+20,1.0662361837948476e+20,6.664174720517774e+19,4.799301844739922e+19,4.409431734107295e+19,2.8536467501577404e+19,2.3583128036027924e+19,5.43821474754986e+18,3.247786649270092e+18,1.9957280223422054e+17
