,model_id,exclusive_use_area,city,supply_area,apartment_building_count_in_sites,total_parking_capacity_in_site,room_count,total_household_count_in_sites,floor,bathroom_count,heat_type_district,total_household_count_of_area_type,heat_fuel_cogeneration,heat_type_individual,heat_fuel_gas,front_door_structure_mixed,front_door_structure_stairway,front_door_structure_corridor,heat_type_central
0,XGBoost_grid_1_AutoML_20190425_054218_model_6,1.784638891063316e+21,1.1575412830308548e+21,1.0951790945657254e+21,3.8935230222859606e+20,3.102062886677916e+20,2.9506133403182825e+20,2.8781462001892406e+20,2.7856672447472337e+20,1.8925163573187445e+20,1.5564306611578497e+20,1.112034009685206e+20,8.269866757154406e+19,7.058461789261503e+19,3.7453333080003576e+19,3.4344415573955314e+19,1.2911231892950352e+19,7.478936916004438e+18,1.1095065320698675e+18
1,XGBoost_grid_1_AutoML_20190425_034434_model_5,1.2841203689514043e+21,7.729571669077372e+20,7.132066440140177e+20,5.344164480040598e+20,2.993818869634066e+20,2.4749533511433165e+20,2.4440136217032812e+20,1.7090738373405966e+20,1.3198986180567237e+20,6.453659585435874e+19,3.881200399649289e+19,3.2156545764355473e+19,2.6082124451916284e+19,1.2259486479981478e+19,9.603112566763028e+18,9.516272038889652e+18,4.2449032330524754e+18,9.305090627249111e+17
2,XGBoost_grid_1_AutoML_20190425_054218_model_7,1.226621223658905e+21,8.981890432210053e+20,7.165594331991067e+20,3.86539733892559e+20,3.2663703858955525e+20,2.9252012516552632e+20,2.577774576838975e+20,2.265658234163597e+20,2.2282544318834016e+20,1.936354501644685e+20,1.0751534869789016e+20,9.396172163885354e+19,4.325932182266079e+19,2.642813636313088e+19,2.136288860410636e+19,2.088987650281387e+19,1.4174206814916182e+19,2.6993282591028675e+18
3,XGBoost_grid_1_AutoML_20190425_040839_model_7,1.6830079878597947e+21,1.2157395417967593e+21,1.0247355484130005e+21,4.8650602926818565e+20,4.8579745119868866e+20,4.5028452744329114e+20,4.029176720718173e+20,3.0842036512493457e+20,2.8707485100357032e+20,2.4982684512298415e+20,2.0240459195765647e+20,1.6151795905313164e+20,6.93395749057866e+19,5.501188726274916e+19,3.2448257194320724e+19,2.9807999922542215e+19,1.5034637335813685e+19,2.4179406935666196e+18
4,GBM_1_AutoML_20190425_031629,7.181279525068268e+20,5.6048648442514034e+20,5.144568462992747e+20,1.9384942392332675e+20,1.8884546734048097e+20,1.588759469607952e+20,1.4462058519263288e+20,1.166389730398731e+20,1.0258810284229106e+20,1.0199755954505908e+20,8.924993608183343e+19,7.1305224619319886e+19,4.723166381976899e+19,2.0038828114636177e+19,1.2105508672604471e+19,1.0025334927433662e+19,8.874196280931254e+18,1.5925195849701786e+18
5,GBM_grid_1_AutoML_20190425_034434_model_4,8.005987836769096e+20,5.142840910323185e+20,3.983811750565438e+20,3.107087566855922e+20,2.7955188689321066e+20,2.4134037457515787e+20,1.8179888203601805e+20,1.547380009203579e+20,1.5203577077519142e+20,1.3065041035243658e+20,1.2517134160108926e+20,9.24249650230366e+19,8.818719212289026e+19,4.733464407882649e+19,2.330479106550294e+19,1.891341858997954e+19,1.5638301105299915e+19,2.32472684654284e+18
6,XGBoost_grid_1_AutoML_20190425_044008_model_1,1.5027750566723343e+21,9.548919661731345e+20,8.26541628592889e+20,3.6061103309415934e+20,3.2120562707020225e+20,2.8856601746925316e+20,2.868571125168986e+20,1.8318708143678292e+20,1.6740870255010434e+20,1.1019945889143089e+20,1.0404982878462856e+20,8.923589751736998e+19,8.711530022720399e+19,6.918520347324685e+19,2.2016590048261046e+19,9.245521698596323e+18,6.461516475625636e+18,2.111796936536228e+17
7,XGBoost_1_AutoML_20190425_044008,9.715449405890112e+20,9.428819918668442e+20,6.867480665719602e+20,3.1886108125169084e+20,2.7285777862833367e+20,2.550603621415235e+20,2.4117754130113076e+20,1.5215682260736305e+20,1.2900589280100457e+20,1.128740605084146e+20,1.0361347220198287e+20,8.96075060592792e+19,4.964693462422546e+19,4.552190124834475e+19,2.383749125502088e+19,8.889614732487557e+18,6.664993746729304e+18,8.638500020598866e+17
8,GBM_1_AutoML_20190425_044008,7.996395873250239e+20,5.3192025754184555e+20,5.243435493031202e+20,2.370543902891568e+20,2.2143940762645876e+20,1.6213127543519812e+20,1.5548795581143135e+20,9.866285512722376e+19,8.59234648070669e+19,6.754925331641847e+19,5.378015276466333e+19,4.0904401012429685e+19,3.411217452891321e+19,2.1881875684602675e+19,1.8627345455641526e+19,9.354862632420508e+18,4.631086351343682e+18,1.2368470897160356e+18
9,XGBoost_1_AutoML_20190425_054218,1.0386454084433436e+21,1.0160015909919014e+21,6.637217949959124e+20,3.088008841090753e+20,2.884074415042488e+20,2.7747284234648158e+20,2.5582196305975837e+20,1.675753533285031e+20,1.0027042029186947e+20,9.848776889561671e+19,9.737132478877296e+19,4.9771641233047814e+19,3.3336244775145177e+19,3.150010873527088e+19,1.7460499735780524e+19,9.64864444278086e+18,6.767347833914786e+18,6.322990380031672e+17
