,model_id,ntrees,max_depth,min_rows,min_sum_hessian_in_leaf,sample_rate,col_sample_rate,col_sample_rate_per_tree,booster,reg_lambda,reg_alpha
0,XGBoost_1_AutoML_20190425_031629,98,5,3.0,100.0,0.8,0.8,0.8,gbtree,1.0,0.0
1,XGBoost_1_AutoML_20190425_034434,106,5,3.0,100.0,0.8,0.8,0.8,gbtree,1.0,0.0
2,XGBoost_1_AutoML_20190425_040839,104,5,3.0,100.0,0.8,0.8,0.8,gbtree,1.0,0.0
3,XGBoost_1_AutoML_20190425_044008,104,5,3.0,100.0,0.8,0.8,0.8,gbtree,1.0,0.0
4,XGBoost_2_AutoML_20190425_031629,98,5,3.0,100.0,0.8,0.8,0.8,gbtree,1.0,0.0
5,XGBoost_2_AutoML_20190425_034434,106,5,3.0,100.0,0.8,0.8,0.8,gbtree,1.0,0.0
6,XGBoost_2_AutoML_20190425_040839,104,5,3.0,100.0,0.8,0.8,0.8,gbtree,1.0,0.0
7,XGBoost_2_AutoML_20190425_044008,104,5,3.0,100.0,0.8,0.8,0.8,gbtree,1.0,0.0
8,XGBoost_3_AutoML_20190425_031629,98,5,3.0,100.0,0.8,0.8,0.8,gbtree,1.0,0.0
9,XGBoost_3_AutoML_20190425_034434,106,5,3.0,100.0,0.8,0.8,0.8,gbtree,1.0,0.0
10,XGBoost_3_AutoML_20190425_040839,104,5,3.0,100.0,0.8,0.8,0.8,gbtree,1.0,0.0
11,XGBoost_3_AutoML_20190425_044008,104,5,3.0,100.0,0.8,0.8,0.8,gbtree,1.0,0.0
12,XGBoost_grid_1_AutoML_20190425_031629_model_1,94,20,10.0,100.0,0.6,0.8,1.0,dart,1.0,0.01
13,XGBoost_grid_1_AutoML_20190425_031629_model_2,70,15,0.1,100.0,0.8,0.8,0.7,gbtree,0.001,0.01
14,XGBoost_grid_1_AutoML_20190425_034434_model_1,102,20,10.0,100.0,1.0,1.0,0.9,dart,1.0,1.0
15,XGBoost_grid_1_AutoML_20190425_034434_model_2,86,20,3.0,100.0,0.8,0.6,0.7,dart,10.0,0.01
16,XGBoost_grid_1_AutoML_20190425_034434_model_3,117,10,10.0,100.0,1.0,1.0,0.7,gbtree,0.01,0.5
17,XGBoost_grid_1_AutoML_20190425_034434_model_4,106,10,3.0,100.0,0.6,0.8,1.0,dart,1.0,1.0
18,XGBoost_grid_1_AutoML_20190425_034434_model_5,132,10,3.0,100.0,0.6,1.0,0.9,gbtree,1.0,0.1
19,XGBoost_grid_1_AutoML_20190425_034434_model_6,135,15,20.0,100.0,0.6,1.0,1.0,gbtree,1.0,0.5
20,XGBoost_grid_1_AutoML_20190425_034434_model_7,183,5,1.0,100.0,1.0,0.6,0.7,gbtree,0.001,0.1
21,XGBoost_grid_1_AutoML_20190425_034434_model_8,16,20,5.0,100.0,0.8,0.8,0.9,dart,0.1,0.01
22,XGBoost_grid_1_AutoML_20190425_040839_model_1,132,10,3.0,100.0,0.6,0.6,1.0,gbtree,1.0,0.1
23,XGBoost_grid_1_AutoML_20190425_040839_model_2,202,5,5.0,100.0,0.6,0.6,0.9,gbtree,1.0,1.0
24,XGBoost_grid_1_AutoML_20190425_040839_model_3,162,5,10.0,100.0,0.8,1.0,0.9,gbtree,0.001,1.0
25,XGBoost_grid_1_AutoML_20190425_040839_model_4,101,20,0.1,100.0,0.8,0.8,0.8,gbtree,0.01,0.01
26,XGBoost_grid_1_AutoML_20190425_040839_model_5,115,15,5.0,100.0,0.6,0.8,0.9,gbtree,0.01,0.5
27,XGBoost_grid_1_AutoML_20190425_040839_model_6,88,20,0.1,100.0,0.6,0.6,0.9,dart,0.001,0.1
28,XGBoost_grid_1_AutoML_20190425_040839_model_7,100,10,3.0,100.0,1.0,0.8,0.8,dart,0.001,0.001
29,XGBoost_grid_1_AutoML_20190425_040839_model_8,38,10,0.1,100.0,0.8,0.6,0.7,dart,0.1,0.5
30,XGBoost_grid_1_AutoML_20190425_044008_model_1,140,10,10.0,100.0,0.8,0.6,0.8,gbtree,1.0,1.0
31,XGBoost_grid_1_AutoML_20190425_044008_model_2,97,15,10.0,100.0,0.8,1.0,0.7,dart,100.0,1.0
32,XGBoost_grid_1_AutoML_20190425_044008_model_3,301,15,5.0,100.0,1.0,0.8,0.9,gbtree,100.0,0.001
33,XGBoost_grid_1_AutoML_20190425_044008_model_4,180,20,0.01,100.0,0.6,0.6,1.0,gbtree,10.0,0.5
34,XGBoost_grid_1_AutoML_20190425_044008_model_5,93,20,5.0,100.0,1.0,1.0,0.7,dart,0.01,0.001
35,XGBoost_grid_1_AutoML_20190425_044008_model_6,125,10,20.0,100.0,0.6,0.6,0.7,gbtree,0.1,0.01
36,XGBoost_grid_1_AutoML_20190425_044008_model_7,77,5,5.0,100.0,0.6,0.6,1.0,gbtree,100.0,0.1
37,XGBoost_grid_1_AutoML_20190425_044008_model_8,2,5,5.0,100.0,0.6,0.6,0.7,gbtree,0.01,0.001
