,model_id,mean_residual_deviance,rmse,mse,mae,rmsle,system_date,runtime
0,XGBoost_grid_1_AutoML_20190425_034434_model_5,23532474855228316,153402981.89809844,23532474855228316,90918845.49757412,0.31368784715308506,2019-04-25,1000
1,XGBoost_grid_1_AutoML_20190425_040839_model_7,23753676258354668,154122276.9697965,23753676258354668,90217458.0754717,0.3138922316740469,2019-04-25,1000
2,GBM_1_AutoML_20190425_031629,23775031990128900,154191543.18615824,23775031990128900,93754997.58951291,0.32221306437158137,2019-04-25,1000
3,GBM_grid_1_AutoML_20190425_034434_model_4,23797462236776000,154264261.04829335,23797462236776000,91123347.76293024,0.3213943308398986,2019-04-25,1000
4,XGBoost_grid_1_AutoML_20190425_044008_model_1,23925914531043820,154680039.21335104,23925914531043820,92270864.3180593,0.31579192773363285,2019-04-25,1000
5,XGBoost_1_AutoML_20190425_044008,23946398297111744,154746238.3940616,23946398297111744,91989347.02803236,0.31609758371780683,2019-04-25,1000
6,GBM_1_AutoML_20190425_044008,23951138348651148,154761553.19927216,23951138348651148,94147137.29261746,0.3226893042425608,2019-04-25,1000
7,XGBoost_1_AutoML_20190425_031629,24001794278085524,154925124.74768424,24001794278085524,92343890.40053909,0.31788141703632194,2019-04-25,1000
8,XGBoost_grid_1_AutoML_20190425_044008_model_4,24053142572982650,155090755.92369342,24053142572982650,90448521.87601078,0.3143630419240039,2019-04-25,1000
9,XGBoost_grid_1_AutoML_20190425_040839_model_5,24079401334470970,155175388.9457699,24079401334470970,91466406.97088951,0.3183777785569329,2019-04-25,1000
10,XGBoost_grid_1_AutoML_20190425_040839_model_6,24116234739201120,155294026.73380944,24116234739201120,92025367.41509436,0.32332194532648395,2019-04-25,1000
11,GBM_grid_1_AutoML_20190425_044008_model_7,24118635149705964,155301755.1404554,24118635149705964,92037036.8368952,0.3174731125010885,2019-04-25,1000
12,XGBoost_1_AutoML_20190425_040839,24157122691099784,155425617.87266532,24157122691099784,91821862.85121292,0.3150432430675297,2019-04-25,1000
13,XGBoost_grid_1_AutoML_20190425_034434_model_3,24241136393363876,155695653.09720075,24241136393363876,92258282.48571429,0.3197195999672125,2019-04-25,1000
14,GBM_1_AutoML_20190425_034434,24265166305648100,155772803.48523006,24265166305648100,94068502.12981234,0.3203401257870397,2019-04-25,1000
15,XGBoost_1_AutoML_20190425_034434,24287590296554900,155844763.45567372,24287590296554900,92332236.71374664,0.3172798328283274,2019-04-25,1000
16,XGBoost_2_AutoML_20190425_034434,24352497787983850,156052868.56698233,24352497787983850,91627074.0787062,0.3171568759489795,2019-04-25,1000
17,XGBoost_grid_1_AutoML_20190425_034434_model_1,24365453118266668,156094372.47468808,24365453118266668,91210890.13638814,0.3172410806480649,2019-04-25,1000
18,GBM_grid_1_AutoML_20190425_040839_model_19,24368569718204916,156104355.21856818,24368569718204916,92769379.16862416,0.32406667516899634,2019-04-25,1000
19,XGBoost_grid_1_AutoML_20190425_040839_model_1,24370048037247824,156109090.18134665,24370048037247824,91737677.14231806,0.3133531767919161,2019-04-25,1000
20,XGBoost_grid_1_AutoML_20190425_044008_model_3,24443243232672484,156343350.45876586,24443243232672484,91686773.3342318,0.31285250010586896,2019-04-25,1000
21,XGBoost_grid_1_AutoML_20190425_034434_model_4,24539476828015330,156650811.76941067,24539476828015330,91960965.7245283,0.3154096132962391,2019-04-25,1000
22,GBM_1_AutoML_20190425_040839,24560988968103064,156719459.44299024,24560988968103064,94621915.87210783,0.3240441771394711,2019-04-25,1000
23,XGBoost_grid_1_AutoML_20190425_031629_model_1,24562662779718170,156724799.5044759,24562662779718170,91800211.04366577,0.3147064273637741,2019-04-25,1000
24,GBM_4_AutoML_20190425_034434,24578164892836296,156774248.18137798,24578164892836296,94318915.93242778,0.3218864079038672,2019-04-25,1000
25,XGBoost_2_AutoML_20190425_040839,24618845024912124,156903935.65781617,24618845024912124,92058031.92075472,0.31652564493015434,2019-04-25,1000
26,XGBoost_2_AutoML_20190425_031629,24645684223842348,156989439.84817052,24645684223842348,91820134.7929919,0.3169278162171524,2019-04-25,1000
27,GBM_grid_1_AutoML_20190425_044008_model_12,24661781197937560,157040699.176798,24661781197937560,93083232.78456748,0.32074512379087217,2019-04-25,1000
28,GBM_grid_1_AutoML_20190425_040839_model_18,24668240855717610,157061264.6571955,24668240855717610,93004531.06661148,0.33620035578448737,2019-04-25,1000
29,GBM_grid_1_AutoML_20190425_040839_model_22,24696475317959650,157151122.54756454,24696475317959650,92942763.74955793,0.3231777446607411,2019-04-25,1000
30,XGBoost_grid_1_AutoML_20190425_031629_model_2,24760693062879860,157355308.34032848,24760693062879860,91812991.18167116,0.3256404216870056,2019-04-25,1000
31,GBM_grid_1_AutoML_20190425_040839_model_4,24775528053031364,157402439.79376993,24775528053031364,93338351.42101955,0.3240377717405764,2019-04-25,1000
32,GBM_grid_1_AutoML_20190425_044008_model_23,24781897886062524,157422672.7192196,24781897886062524,93605582.96183126,0.3242850682492324,2019-04-25,1000
33,XGBoost_2_AutoML_20190425_044008,24794121219816068,157461491.228224,24794121219816068,91926429.24366575,0.3166498684472247,2019-04-25,1000
34,GBM_4_AutoML_20190425_031629,24814875998401084,157527381.74171844,24814875998401084,94635071.73507772,0.32495766337992205,2019-04-25,1000
35,XRT_1_AutoML_20190425_031629,24821773831486484,157549274.2969211,24821773831486484,94415308.89892767,0.3253525542337009,2019-04-25,1000
36,DRF_1_AutoML_20190425_040839,24849988548945270,157638791.38380018,24849988548945270,94040413.48057562,0.3229163739400784,2019-04-25,1000
37,DRF_1_AutoML_20190425_031629,24969446332052852,158017234.2880765,24969446332052852,93945780.40816893,0.3242510610147755,2019-04-25,1000
38,XGBoost_grid_1_AutoML_20190425_044008_model_5,25034972257868830,158224436.34871584,25034972257868830,92336136.31644204,0.3303005763328003,2019-04-25,1000
39,GBM_4_AutoML_20190425_044008,25048320140207412,158266610.94560474,25048320140207412,94530357.25931896,0.32342491056483696,2019-04-25,1000
40,GBM_grid_1_AutoML_20190425_040839_model_14,25077192067893000,158357797.62263998,25077192067893000,93940441.68320404,0.3313013182854759,2019-04-25,1000
41,XGBoost_grid_1_AutoML_20190425_040839_model_4,25132389004305440,158531981.0142592,25132389004305440,93549257.86792453,0.33148114515650584,2019-04-25,1000
42,GBM_grid_1_AutoML_20190425_031629_model_3,25135162788820784,158540729.11659262,25135162788820784,94510062.05599141,0.32367695730487833,2019-04-25,1000
43,GBM_4_AutoML_20190425_040839,25174075630592030,158663403.5642499,25174075630592030,94393597.12773384,0.3215434082612341,2019-04-25,1000
44,DRF_1_AutoML_20190425_034434,25225871239041110,158826544.50387412,25225871239041110,94560522.416278,0.32378776089386474,2019-04-25,1000
45,GBM_grid_1_AutoML_20190425_031629_model_1,25229476606959136,158837894.1152241,25229476606959136,94007503.5975976,0.32146823335561503,2019-04-25,1000
46,GBM_3_AutoML_20190425_044008,25294570032274956,159042667.33262163,25294570032274956,96104408.89198159,0.32541349351907994,2019-04-25,1000
47,GBM_2_AutoML_20190425_031629,25308852080644044,159087561.04939204,25308852080644044,96784539.8033259,0.3279367156954517,2019-04-25,1000
48,GBM_2_AutoML_20190425_034434,25399535866277716,159372318.38144827,25399535866277716,97020315.40667504,0.32891699850227424,2019-04-25,1000
49,GBM_3_AutoML_20190425_040839,25423179167651148,159446477.43882945,25423179167651148,96317126.61255205,0.3258178577052748,2019-04-25,1000
50,GBM_2_AutoML_20190425_040839,25501613381065770,159692245.8388815,25501613381065770,97284554.93587379,0.3286162712764544,2019-04-25,1000
51,GBM_3_AutoML_20190425_031629,25526087376836304,159768856.09165606,25526087376836304,96092158.51362908,0.3261237257059677,2019-04-25,1000
52,GBM_grid_1_AutoML_20190425_040839_model_27,25585022357179732,159953188.01818153,25585022357179732,96275431.03940424,0.3261920099601289,2019-04-25,1000
53,GBM_3_AutoML_20190425_034434,25628186250929108,160088057.80235168,25628186250929108,96387000.97903717,0.32625916645078146,2019-04-25,1000
54,GBM_grid_1_AutoML_20190425_040839_model_24,25657975900680950,160181072.22977674,25657975900680950,94756800.62512231,0.3281677477855931,2019-04-25,1000
55,GBM_2_AutoML_20190425_044008,25696625271057870,160301669.582877,25696625271057870,97025888.5379408,0.3286228814027673,2019-04-25,1000
56,GBM_grid_1_AutoML_20190425_044008_model_1,25724597877957660,160388895.74393132,25724597877957660,96605503.66788872,0.3321474806434272,2019-04-25,1000
57,XRT_1_AutoML_20190425_034434,25770661484876564,160532431.25573274,25770661484876564,95167142.80071364,0.3246171883087283,2019-04-25,1000
58,GBM_grid_1_AutoML_20190425_040839_model_16,25825628685795080,160703542.85389942,25825628685795080,95626827.22867818,0.32886011517933394,2019-04-25,1000
59,XGBoost_grid_1_AutoML_20190425_034434_model_7,25849360260450172,160777362.40046412,25849360260450172,98286014.97843666,0.3307810164451993,2019-04-25,1000
60,XGBoost_grid_1_AutoML_20190425_034434_model_6,26009013237374040,161273101.40681875,26009013237374040,94853955.61078168,0.3205893701237505,2019-04-25,1000
61,XRT_1_AutoML_20190425_044008,26021254323479296,161311048.36147863,26021254323479296,95242653.8164955,0.3272566829040243,2019-04-25,1000
62,GBM_grid_1_AutoML_20190425_040839_model_29,26229188894077630,161954280.25858912,26229188894077630,97341610.51321676,0.3336778795689459,2019-04-25,1000
63,XRT_1_AutoML_20190425_040839,26381023062838724,162422360.10734093,26381023062838724,94956828.17888951,0.3248722766564002,2019-04-25,1000
64,XGBoost_grid_1_AutoML_20190425_040839_model_2,26625408864245868,163172941.58115146,26625408864245868,99727972.75687332,0.33547487423962885,2019-04-25,1000
65,XGBoost_grid_1_AutoML_20190425_044008_model_6,26656457599044984,163268054.435168,26656457599044984,96815020.25336929,0.3264401840387375,2019-04-25,1000
66,DRF_1_AutoML_20190425_044008,26672498270546420,163317170.77682438,26672498270546420,94945780.68300152,0.3236233103032619,2019-04-25,1000
