,model_id,exclusive_use_area,city,supply_area,apartment_building_count_in_sites,total_parking_capacity_in_site,room_count,total_household_count_in_sites,floor,bathroom_count,heat_type_district,total_household_count_of_area_type,heat_fuel_cogeneration,heat_type_individual,heat_fuel_gas,front_door_structure_mixed,front_door_structure_stairway,front_door_structure_corridor,heat_type_central
0,XGBoost_grid_1_AutoML_20190425_034434_model_5,1.2841203689514043e+21,7.729571669077372e+20,7.132066440140177e+20,5.344164480040598e+20,2.993818869634066e+20,2.4749533511433165e+20,2.4440136217032812e+20,1.7090738373405966e+20,1.3198986180567237e+20,6.453659585435874e+19,3.881200399649289e+19,3.2156545764355473e+19,2.6082124451916284e+19,1.2259486479981478e+19,9.603112566763028e+18,9.516272038889652e+18,4.2449032330524754e+18,9.305090627249111e+17
1,XGBoost_grid_1_AutoML_20190425_040839_model_7,1.6830079878597947e+21,1.2157395417967593e+21,1.0247355484130005e+21,4.8650602926818565e+20,4.8579745119868866e+20,4.5028452744329114e+20,4.029176720718173e+20,3.0842036512493457e+20,2.8707485100357032e+20,2.4982684512298415e+20,2.0240459195765647e+20,1.6151795905313164e+20,6.93395749057866e+19,5.501188726274916e+19,3.2448257194320724e+19,2.9807999922542215e+19,1.5034637335813685e+19,2.4179406935666196e+18
2,GBM_1_AutoML_20190425_031629,7.181279525068268e+20,5.6048648442514034e+20,5.144568462992747e+20,1.9384942392332675e+20,1.8884546734048097e+20,1.588759469607952e+20,1.4462058519263288e+20,1.166389730398731e+20,1.0258810284229106e+20,1.0199755954505908e+20,8.924993608183343e+19,7.1305224619319886e+19,4.723166381976899e+19,2.0038828114636177e+19,1.2105508672604471e+19,1.0025334927433662e+19,8.874196280931254e+18,1.5925195849701786e+18
3,GBM_grid_1_AutoML_20190425_034434_model_4,8.005987836769096e+20,5.142840910323185e+20,3.983811750565438e+20,3.107087566855922e+20,2.7955188689321066e+20,2.4134037457515787e+20,1.8179888203601805e+20,1.547380009203579e+20,1.5203577077519142e+20,1.3065041035243658e+20,1.2517134160108926e+20,9.24249650230366e+19,8.818719212289026e+19,4.733464407882649e+19,2.330479106550294e+19,1.891341858997954e+19,1.5638301105299915e+19,2.32472684654284e+18
4,XGBoost_grid_1_AutoML_20190425_044008_model_1,1.5027750566723343e+21,9.548919661731345e+20,8.26541628592889e+20,3.6061103309415934e+20,3.2120562707020225e+20,2.8856601746925316e+20,2.868571125168986e+20,1.8318708143678292e+20,1.6740870255010434e+20,1.1019945889143089e+20,1.0404982878462856e+20,8.923589751736998e+19,8.711530022720399e+19,6.918520347324685e+19,2.2016590048261046e+19,9.245521698596323e+18,6.461516475625636e+18,2.111796936536228e+17
5,XGBoost_1_AutoML_20190425_044008,9.715449405890112e+20,9.428819918668442e+20,6.867480665719602e+20,3.1886108125169084e+20,2.7285777862833367e+20,2.550603621415235e+20,2.4117754130113076e+20,1.5215682260736305e+20,1.2900589280100457e+20,1.128740605084146e+20,1.0361347220198287e+20,8.96075060592792e+19,4.964693462422546e+19,4.552190124834475e+19,2.383749125502088e+19,8.889614732487557e+18,6.664993746729304e+18,8.638500020598866e+17
6,GBM_1_AutoML_20190425_044008,7.996395873250239e+20,5.3192025754184555e+20,5.243435493031202e+20,2.370543902891568e+20,2.2143940762645876e+20,1.6213127543519812e+20,1.5548795581143135e+20,9.866285512722376e+19,8.59234648070669e+19,6.754925331641847e+19,5.378015276466333e+19,4.0904401012429685e+19,3.411217452891321e+19,2.1881875684602675e+19,1.8627345455641526e+19,9.354862632420508e+18,4.631086351343682e+18,1.2368470897160356e+18
7,XGBoost_1_AutoML_20190425_031629,1.178115626084776e+21,8.143577027509915e+20,6.389432713210967e+20,3.350990911831519e+20,3.1723732247979124e+20,2.6297983653313826e+20,2.4668289277842843e+20,1.676797277683046e+20,1.1688009154179786e+20,8.891068836615291e+19,7.785509894886523e+19,6.902374678777771e+19,4.706910322462556e+19,3.869155029864677e+19,2.1272616500442694e+19,1.9925433281440383e+19,9.009216308822147e+18,5.4602087596766e+17
8,XGBoost_grid_1_AutoML_20190425_044008_model_4,1.0200340718770025e+21,8.222140211947068e+20,7.331623050691289e+20,3.695518042543966e+20,2.7905033366908436e+20,2.4604711117478324e+20,2.2492091883683473e+20,1.949211926737107e+20,1.6373612260709997e+20,8.565049565230871e+19,7.248813640308595e+19,6.4994542447327445e+19,5.261543130126719e+19,3.6857699043934994e+19,2.0190758631362265e+19,1.6644931488319537e+19,1.1394405024898482e+19,4.0774421145840517e+18
9,XGBoost_grid_1_AutoML_20190425_040839_model_5,1.2393416408064128e+21,8.783801713662487e+20,7.169384392552476e+20,4.03602359952666e+20,3.462503557042421e+20,3.119687090500933e+20,2.975298168010226e+20,2.540661221550373e+20,1.9782430799131836e+20,9.219482404520355e+19,6.961584259542811e+19,6.782102620252563e+19,5.325039486826132e+19,4.946770543280495e+19,2.3221426093884965e+19,2.043607067063537e+19,1.3730233915224883e+19,1.1225926445857505e+18
10,XGBoost_grid_1_AutoML_20190425_040839_model_6,1.296213659850801e+21,9.034965353818615e+20,6.311718879516038e+20,4.134572914685153e+20,3.528055912524845e+20,3.485899757106611e+20,2.7822791656369396e+20,2.6080628676297857e+20,2.51328707637782e+20,1.2304424399817985e+20,1.1800705577589617e+20,9.669188817545855e+19,7.12154384997957e+19,4.960879916292768e+19,3.883635158197836e+19,2.765126388419448e+19,1.2467246898631148e+19,2.5651587034560594e+18
11,GBM_grid_1_AutoML_20190425_044008_model_7,1.1462571623207571e+21,7.925590139171231e+20,7.295297297571895e+20,3.212104473291784e+20,2.8739238996167203e+20,2.5655979693464722e+20,2.1620198514261754e+20,1.421278779832554e+20,1.1703989016373232e+20,1.1059303127761656e+20,7.628892819798203e+19,5.192886105651177e+19,4.581489470886799e+19,2.750473856663054e+19,2.042877211245019e+19,2.0364252770132296e+19,1.464743332097609e+19,1.464433902037762e+18
12,XGBoost_1_AutoML_20190425_040839,1.1460909513470095e+21,8.750016975895349e+20,7.152096903170349e+20,2.7017342214418832e+20,2.6539436406773436e+20,2.6128236650171256e+20,2.1792642399524933e+20,1.5298845801824072e+20,1.47152760471401e+20,1.2144276572990551e+20,8.22653720292701e+19,6.49873164569097e+19,4.388958387793455e+19,3.3609007221717336e+19,1.822066249280625e+19,1.250151097948753e+19,1.0461990577242112e+19,5.6139490038225306e+17
13,XGBoost_grid_1_AutoML_20190425_034434_model_3,1.881543266457912e+21,1.2795321860935322e+21,8.839858862649298e+20,4.7835423246766834e+20,4.589053319237526e+20,4.127420987370656e+20,4.00302241772594e+20,2.2083226610169387e+20,1.7358938286527506e+20,1.535723426730549e+20,1.5344402526804692e+20,1.0103293600377864e+20,9.837822235311813e+19,7.174539870633722e+19,3.3793595432811626e+19,2.2167328694382625e+19,1.6325531057032004e+19,3.047830083118039e+17
14,GBM_1_AutoML_20190425_034434,7.865453010397e+20,5.658230740617139e+20,5.556162636406042e+20,1.9974873481490307e+20,1.983793414610197e+20,1.530632248089295e+20,1.454592486818353e+20,8.189918188066256e+19,7.271740216966329e+19,7.266074213646074e+19,7.2532688614243434e+19,3.932993554582654e+19,3.3112210484892795e+19,2.78175650178956e+19,1.3079840901558174e+19,1.2990281281429307e+19,4.125638107275985e+18,1.0390540875695391e+18
15,XGBoost_1_AutoML_20190425_034434,1.017849896426472e+21,9.837378032614192e+20,7.025072171992922e+20,4.195978440073187e+20,2.8743735558920156e+20,2.6062617796225584e+20,2.193488401978706e+20,1.587378307081605e+20,1.0886683320638033e+20,7.105904396586084e+19,5.587912046208772e+19,4.793919515419633e+19,4.607380770697668e+19,4.254370248069952e+19,1.3540209718642868e+19,1.2499704481883095e+19,1.12663998811928e+19,5.695022524488745e+17
16,XGBoost_2_AutoML_20190425_034434,9.803857881325162e+20,7.944698771652676e+20,7.126032320326942e+20,3.473533154004828e+20,2.677616213984291e+20,2.4480925459595395e+20,2.4076653505857507e+20,1.874974309004555e+20,1.7503996415775343e+20,1.3537889089401284e+20,1.2200793229876842e+20,6.901707055317385e+19,6.848053086905172e+19,4.833732831461402e+19,1.5781959996050244e+19,7.447002150531498e+18,7.342269269939323e+18,7640049961140224.0
17,XGBoost_grid_1_AutoML_20190425_034434_model_1,1.9215381866362175e+21,1.1376470538894107e+21,1.0876582942942492e+21,8.210916397250731e+20,3.4052237511255235e+20,3.375882095865763e+20,3.1612553150615624e+20,1.597538498209697e+20,1.3002556229241799e+20,1.0067756504958842e+20,7.084964857342067e+19,6.8094883762679054e+19,4.203328719285335e+19,1.7819653009970299e+19,1.576574110002892e+19,1.0019875852201755e+19,5.117102926413693e+18,7.021733455457157e+17
18,GBM_grid_1_AutoML_20190425_040839_model_19,6.182730860376055e+20,5.568915915757081e+20,3.728345413546567e+20,1.9394308472182722e+20,1.8000808545762673e+20,1.715686564152832e+20,1.1733713653523179e+20,1.0996674945443535e+20,1.0032733101372316e+20,8.628949662600004e+19,6.69939647600195e+19,6.137546474013065e+19,4.838683272614301e+19,3.4433799272223736e+19,1.7574206830278607e+19,7.939029205914747e+18,7.78756543187465e+18,1.1301613390339768e+18
19,XGBoost_grid_1_AutoML_20190425_040839_model_1,1.0296959819275724e+21,9.25313097876751e+20,7.958816852797041e+20,2.9464874449252857e+20,2.8188258766130512e+20,2.6008272015097174e+20,2.4203626867851683e+20,1.7441336567522342e+20,1.6887835377225486e+20,1.2422562086371354e+20,8.44857873830521e+19,4.770419873301502e+19,4.510388891769687e+19,4.45377459825085e+19,1.9244831185800528e+19,1.139545395899138e+19,9.507334108867461e+18,6.450256789362442e+17
20,XGBoost_grid_1_AutoML_20190425_044008_model_3,1.419698843196091e+21,1.1550433333500361e+21,1.0249771946805066e+21,3.067750383329445e+20,2.6855655950921813e+20,2.4839070701524825e+20,1.938989107426697e+20,1.6357506614386334e+20,1.00869099975147e+20,6.2979366332032614e+19,5.5232792342908895e+19,3.116818816507786e+19,2.8723197561322602e+19,1.7675640076475826e+19,1.7011137030089867e+19,1.2989013544522482e+19,1.198715394245578e+19,1.3996695060658258e+18
21,XGBoost_grid_1_AutoML_20190425_034434_model_4,1.2272707271676647e+21,7.619504397871879e+20,7.321169070056255e+20,4.199031388039335e+20,2.760594861196732e+20,2.4908420858130517e+20,2.3261276793322078e+20,1.555909932450935e+20,1.2389655902375274e+20,8.578921003926893e+19,6.191768230229862e+19,3.720540200403311e+19,3.6554101893273485e+19,1.877264811627538e+19,1.0370255023601877e+19,9.684865654334685e+18,6.887761399586488e+18,5.951811059974144e+17
