transaction_real_price,city,exclusive_use_area,total_parking_capacity_in_site,apartment_building_count_in_sites,room_count,bathroom_count,heat_type_individual
724000000,1,84.55,500.0,5,3.0,1.0,0
390000000,1,82.49,131.0,1,3.0,2.0,1
341000000,1,84.87,2990.0,22,3.0,2.0,1
68000000,0,40.66,1000.0,18,1.0,1.0,1
83000000,0,32.58,217.0,1,1.0,1.0,1
270000000,0,119.06,350.0,2,4.0,2.0,1
95000000,0,59.79,560.0,6,2.0,1.0,1
201500000,0,56.345,952.0,10,3.0,1.0,0
313000000,1,84.96,1459.0,13,3.0,2.0,1
480000000,1,84.93,600.0,8,3.0,1.0,0
197000000,0,107.1559,161.0,1,4.0,2.0,1
78000000,0,59.84,375.0,6,2.0,1.0,1
359000000,1,79.07,266.0,4,3.0,2.0,1
159000000,1,59.52,195.0,1,2.0,1.0,1
85000000,0,59.22,220.0,2,2.0,1.0,1
352500000,1,59.89,1710.0,6,2.0,1.0,0
400000000,1,84.87,132.0,2,3.0,2.0,1
253000000,0,84.965,3958.0,29,3.0,2.0,1
390000000,1,84.689,989.0,10,3.0,2.0,0
428000000,1,58.46,2328.0,18,2.0,1.0,0
600000000,1,114.94,436.0,5,4.0,2.0,0
292000000,0,84.88799999999998,619.0,3,3.0,2.0,1
240000000,1,59.855,2733.0,30,3.0,1.0,1
366500000,1,55.4561,729.0,7,3.0,2.0,1
740000000,1,84.90899999999998,886.0,21,3.0,2.0,0
370000000,1,59.25,1299.0,8,2.0,1.0,0
440000000,1,99.917,986.0,11,3.0,2.0,0
375000000,1,59.96,3384.0,35,3.0,1.0,1
108000000,0,49.14,700.0,7,2.0,1.0,1
718000000,1,65.34,1104.0,34,2.0,1.0,0
166000000,0,61.52,1578.0,18,2.0,1.0,1
269000000,0,59.99,481.0,6,3.0,1.0,0
599000000,1,114.99,588.0,10,4.0,2.0,1
234000000,0,84.99,3776.0,35,3.0,2.0,1
324500000,1,59.76,262.0,2,3.0,1.0,1
237000000,1,59.89,748.0,9,3.0,1.0,1
254000000,1,59.39,676.0,26,2.0,1.0,0
572000000,1,84.913,333.0,5,3.0,2.0,1
261000000,0,83.5,1037.0,12,3.0,2.0,1
515000000,1,84.91,250.0,4,3.0,2.0,1
595000000,1,118.25,1299.0,8,0.0,0.0,0
160000000,1,49.77,706.0,9,2.0,1.0,0
208500000,1,49.94,676.0,26,2.0,1.0,0
93550000,0,49.14,700.0,7,2.0,1.0,1
460000000,0,84.71700000000001,1277.0,13,3.0,2.0,1
865000000,1,128.81,4418.0,37,4.0,2.0,0
510000000,1,84.9883,716.0,10,3.0,2.0,1
35000000,0,45.5,230.0,7,3.0,1.0,1
185000000,0,59.997,2716.0,24,2.0,1.0,1
135000000,0,63.27,136.0,1,3.0,1.0,1
246000000,1,59.72,206.0,2,3.0,1.0,1
628000000,1,101.993,1651.0,22,3.0,2.0,1
299900000,1,39.6,522.0,6,2.0,1.0,0
525000000,0,174.107,5755.0,15,4.0,2.0,1
415000000,1,79.4198,311.0,2,3.0,2.0,1
275500000,0,126.638,2381.0,14,4.0,2.0,1
1451670000,1,142.034,2322.0,3,4.0,2.0,1
293000000,1,72.92,583.0,9,3.0,1.0,1
134000000,0,84.86,363.0,3,3.0,2.0,1
226500000,0,84.99,3776.0,35,3.0,2.0,1
550000000,1,84.955,767.0,6,3.0,2.0,1
153000000,0,77.85,1500.0,15,3.0,1.0,0
251000000,1,49.94,550.0,14,2.0,1.0,0
388000000,0,134.95,1070.0,14,4.0,2.0,0
86500000,0,59.9,320.0,4,3.0,1.0,1
450000000,1,84.9,1352.0,15,3.0,2.0,1
250000000,1,84.96,1188.0,16,3.0,2.0,1
1535000000,1,110.39,461.0,5,4.0,2.0,0
417000000,1,90.94,676.0,26,3.0,2.0,0
110000000,0,31.98,380.0,8,1.0,1.0,1
580000000,1,114.39,600.0,6,4.0,2.0,0
850000000,1,84.95,1643.0,14,3.0,2.0,0
538000000,1,59.99,1027.0,10,3.0,2.0,0
83500000,1,41.3,1710.0,10,2.0,1.0,0
240000000,0,84.96,239.0,3,3.0,2.0,1
260000000,1,84.6,195.0,2,3.0,2.0,1
322000000,1,59.25,912.0,8,2.0,1.0,1
166000000,0,84.99,979.0,13,3.0,2.0,0
1335000000,1,114.17,231.0,3,4.0,2.0,1
390000000,1,100.35,983.0,13,3.0,2.0,0
898000000,1,84.81,957.0,14,3.0,2.0,1
305000000,1,71.52,120.0,1,3.0,2.0,1
530000000,1,59.58,144.0,3,3.0,2.0,1
281000000,1,67.41,413.0,4,2.0,1.0,1
620000000,1,116.98,350.0,6,4.0,2.0,1
750000000,0,153.208,867.0,4,5.0,3.0,0
343080000,1,84.53,465.0,9,3.0,2.0,0
83000000,0,58.65,551.0,14,2.0,1.0,1
825000000,1,84.755,2300.0,18,3.0,1.0,0
1155000000,1,81.75,3930.0,30,3.0,1.0,0
125000000,0,84.93,702.0,11,3.0,2.0,1
410000000,1,57.78,1161.0,15,3.0,2.0,1
646000000,0,119.851,3728.0,3,4.0,2.0,1
93000000,0,84.94,765.0,7,3.0,2.0,1
532000000,1,59.97,428.0,5,3.0,1.0,1
410000000,1,84.9,278.0,3,3.0,2.0,1
299000000,1,79.84,160.0,1,3.0,2.0,1
400000000,1,66.24,646.0,19,2.0,1.0,0
550000000,1,84.95,182.0,2,3.0,2.0,1
281000000,1,59.4,713.0,8,3.0,1.0,0
520000000,1,84.99,650.0,15,3.0,2.0,1
174000000,1,44.52,78.0,10,2.0,1.0,0
213000000,0,59.99,1050.0,16,3.0,1.0,0
1050000000,1,84.99,7876.0,65,3.0,2.0,0
183000000,0,59.9337,1846.0,16,3.0,2.0,1
1050000000,1,100.8,479.0,4,4.0,2.0,0
380000000,1,59.94,1535.0,19,2.0,1.0,1
95000000,0,84.93,702.0,11,3.0,2.0,1
200000000,0,65.9876,1888.0,17,3.0,2.0,0
220000000,1,59.9627,183.0,4,3.0,2.0,1
585000000,1,84.32,146.0,2,3.0,2.0,1
897000000,1,42.55,1136.0,58,2.0,1.0,1
438000000,1,76.51,2328.0,18,3.0,2.0,0
1530000000,1,84.96,2906.0,21,3.0,1.0,0
98000000,1,34.44,272.0,4,2.0,1.0,0
360000000,1,59.64,3012.0,16,3.0,1.0,1
193000000,1,59.88,2776.0,27,3.0,1.0,1
189000000,0,59.6,682.0,9,3.0,1.0,0
252500000,1,59.88,659.0,5,3.0,2.0,1
370000000,1,51.48,646.0,19,2.0,1.0,0
440000000,1,84.66,912.0,8,3.0,1.0,1
570000000,1,114.08,638.0,10,4.0,2.0,1
675000000,1,52.72,930.0,8,2.0,1.0,0
318000000,1,84.96,400.0,6,3.0,2.0,0
200000000,0,104.76,284.0,1,3.0,2.0,1
565000000,0,125.4155,4599.0,14,4.0,2.0,1
136000000,0,59.99,1367.0,10,3.0,1.0,1
970000000,1,152.222,1651.0,22,4.0,2.0,1
450000000,1,47.94,783.0,15,2.0,1.0,0
257000000,1,49.82,1650.0,12,3.0,1.0,0
104000000,0,84.99,3776.0,35,3.0,2.0,1
157000000,1,39.78,379.0,8,2.0,1.0,0
403000000,1,84.96,5402.0,49,3.0,2.0,0
167000000,0,84.94,500.0,5,3.0,2.0,1
160000000,0,84.9341,330.0,3,3.0,2.0,1
480000000,1,84.97,153.0,2,3.0,2.0,1
970000000,1,84.97,7712.0,72,3.0,2.0,0
188000000,0,84.94,495.0,7,3.0,1.0,1
329000000,0,84.98,619.0,3,3.0,2.0,1
189430000,0,84.9902,4697.0,49,3.0,2.0,1
650000000,1,101.95,500.0,11,4.0,2.0,0
310000000,1,84.96,937.0,13,3.0,2.0,0
232000000,1,59.85,463.0,4,2.0,1.0,1
149000000,0,59.816,682.0,10,3.0,1.0,0
158300000,0,59.97,931.0,7,2.0,1.0,1
319000000,1,84.962,539.0,8,3.0,2.0,1
1350000000,1,84.465,1335.0,11,3.0,2.0,0
290000000,1,59.65,729.0,15,3.0,2.0,1
425000000,1,54.81,2300.0,18,3.0,1.0,0
95000000,1,44.52,78.0,10,2.0,1.0,0
165000000,0,59.94600000000001,1093.0,12,3.0,1.0,0
307000000,0,84.99,932.0,29,3.0,2.0,1
377910000,1,84.89,530.0,14,3.0,2.0,0
850000000,1,84.5978,4580.0,51,3.0,2.0,1
693000000,1,25.42,959.0,47,1.0,1.0,0
535000000,1,84.97,3310.0,42,3.0,2.0,0
473000000,1,84.65,1300.0,10,3.0,1.0,0
203000000,0,59.6572,453.0,3,3.0,2.0,1
945000000,1,84.99,7876.0,65,3.0,2.0,0
593000000,1,81.23,240.0,2,3.0,2.0,0
538000000,1,59.92,551.0,7,3.0,2.0,0
207000000,0,84.9402,865.0,7,3.0,2.0,1
650000000,1,65.1,783.0,15,2.0,1.0,0
667000000,1,101.9176,3210.0,25,3.0,2.0,1
250000000,1,59.43,233.0,3,3.0,1.0,1
200000000,1,32.34,255.0,1,1.0,1.0,1
340000000,1,84.973,122.0,2,3.0,2.0,1
600000000,1,59.99,4596.0,40,3.0,2.0,1
100000000,0,41.3,1578.0,18,2.0,1.0,1
240000000,1,49.6,1239.0,21,2.0,1.0,0
390000000,1,83.21,1930.0,9,3.0,2.0,1
341000000,1,59.854,201.0,5,3.0,2.0,1
157000000,1,39.6,334.0,5,2.0,1.0,0
470000000,1,84.74,571.0,9,3.0,2.0,0
540000000,1,114.752,2733.0,30,4.0,2.0,1
170000000,1,59.97,164.0,1,3.0,1.0,1
1005000000,0,157.513,3728.0,3,4.0,2.0,1
598000000,0,80.794,3728.0,3,2.0,2.0,1
163000000,0,109.69,136.0,2,4.0,2.0,1
144000000,1,36.66,340.0,1,1.0,1.0,1
100000000,0,82.094,282.0,2,3.0,1.0,1
253000000,0,84.71700000000001,1277.0,13,3.0,2.0,1
220000000,1,43.92,1314.0,7,1.0,1.0,0
162000000,1,41.3,1710.0,10,2.0,1.0,0
898000000,1,59.96,7712.0,72,3.0,2.0,0
103000000,0,49.94,1600.0,10,2.0,1.0,1
157000000,1,59.92,705.0,4,3.0,1.0,1
675000000,1,84.97,3310.0,42,3.0,2.0,0
1920000000,1,160.33,572.0,4,3.0,2.0,1
710000000,1,84.85799999999998,1108.0,17,3.0,2.0,1
360000000,1,84.76,4804.0,54,3.0,2.0,1
375000000,1,59.99,1806.0,25,3.0,2.0,1
250000000,1,84.17,282.0,5,3.0,2.0,1
336000000,0,134.64,1093.0,12,4.0,2.0,0
1180000000,1,133.42,2504.0,25,4.0,2.0,1
277000000,1,63.78,878.0,13,3.0,1.0,0
535000000,0,157.8562,1875.0,10,4.0,2.0,1
1050000000,1,114.48,692.0,5,3.0,1.0,0
380000000,1,59.22,600.0,4,3.0,1.0,1
219000000,0,84.99,2716.0,24,3.0,2.0,1
795000000,1,83.06,5540.0,122,3.0,1.0,0
580000000,1,84.9958,2697.0,29,3.0,2.0,1
460000000,1,49.993,150.0,2,2.0,1.0,1
105000000,0,73.2,1035.0,11,3.0,1.0,1
376500000,1,75.42,136.0,2,3.0,1.0,1
179000000,0,59.94,1422.0,15,3.0,1.0,0
443000000,1,84.93,366.0,6,3.0,2.0,1
1018000000,1,82.45,2100.0,21,3.0,2.0,0
500000000,1,83.02,381.0,6,3.0,2.0,0
196500000,1,59.88,2366.0,28,3.0,1.0,1
175000000,1,59.59,802.0,8,3.0,1.0,1
1200000000,1,114.7267,4580.0,51,4.0,2.0,1
143000000,0,59.76,1789.0,10,3.0,1.0,0
87000000,0,84.43,285.0,5,3.0,2.0,1
861600000,1,84.99,920.0,7,3.0,2.0,1
156500000,0,57.15,201.0,1,2.0,1.0,1
427000000,0,84.84,938.0,12,3.0,2.0,0
229000000,0,84.95,962.0,8,3.0,1.0,1
395000000,1,84.87,1215.0,10,3.0,2.0,0
550000000,1,84.97,470.0,6,3.0,2.0,1
282500000,1,58.59,2561.0,26,2.0,1.0,1
360000000,0,84.6389,1405.0,6,3.0,2.0,1
395200000,0,123.307,5755.0,15,4.0,2.0,1
394000000,0,144.48,1578.0,9,4.0,2.0,1
178000000,1,41.34,434.0,3,2.0,1.0,1
361700000,0,146.81,1180.0,17,4.0,2.0,0
898000000,1,134.33,451.0,5,4.0,2.0,1
172980000,0,84.814,631.0,1,3.0,2.0,1
169500000,0,49.68,480.0,11,2.0,1.0,1
127000000,0,59.97,931.0,7,2.0,1.0,1
340000000,1,84.77,305.0,6,3.0,2.0,1
324000000,0,84.97,2252.0,17,3.0,2.0,1
298000000,0,84.97,1357.0,12,3.0,2.0,1
49870000,0,46.2,565.0,10,2.0,1.0,1
380100000,0,133.77,1551.0,21,4.0,2.0,1
120000000,0,46.61,21.0,2,3.0,1.0,1
750000000,1,47.94,783.0,15,2.0,1.0,0
85500000,1,45.54,480.0,4,2.0,2.0,0
860000000,1,132.86,264.0,4,5.0,2.0,0
105000000,0,38.64,1600.0,10,2.0,1.0,1
650000000,1,118.25,1710.0,6,4.0,2.0,0
298000000,1,59.33,1048.0,13,3.0,1.0,1
450000000,1,84.774,693.0,8,3.0,2.0,1
57500000,0,44.82,372.0,6,2.0,1.0,1
230000000,0,84.5059,620.0,5,3.0,2.0,1
215000000,0,59.99,481.0,6,3.0,1.0,0
100000000,0,49.94,1418.0,26,2.0,1.0,1
118000000,0,59.4,75.0,1,2.0,1.0,1
250000000,0,85.0,637.0,8,3.0,2.0,1
630000000,1,59.97,945.0,8,3.0,2.0,0
235500000,0,84.988,1162.0,14,3.0,2.0,0
308000000,1,59.94,173.0,2,3.0,1.0,1
505000000,1,84.95200000000001,342.0,3,3.0,2.0,1
667000000,1,84.904,561.0,7,3.0,2.0,1
90000000,0,39.6,100.0,4,1.0,1.0,1
299000000,1,84.94,449.0,3,3.0,2.0,1
282000000,0,84.9402,865.0,7,3.0,2.0,1
280000000,1,59.99,1346.0,17,3.0,1.0,1
1040000000,1,84.8,7712.0,72,3.0,2.0,0
203500000,0,59.77,865.0,9,3.0,1.0,1
120000000,0,84.96,314.0,2,3.0,2.0,1
113000000,1,62.22,4753.0,30,2.0,1.0,1
395000000,0,134.19,952.0,10,5.0,2.0,0
148500000,0,84.99,1673.0,18,3.0,2.0,1
366000000,0,117.27,1576.0,17,4.0,2.0,0
388000000,1,60.0,1064.0,9,3.0,2.0,1
170000000,1,59.85,298.0,4,3.0,1.0,1
338000000,1,84.72,1691.0,6,3.0,2.0,0
340000000,1,49.77,522.0,6,3.0,1.0,0
240000000,1,84.97,3146.0,25,3.0,2.0,1
190000000,0,73.37,514.0,5,3.0,1.0,1
560000000,1,114.84,2134.0,23,4.0,2.0,1
690000000,1,84.99,1267.0,22,3.0,2.0,1
1790000000,1,140.9,1093.0,9,4.0,2.0,0
943000000,1,84.99,7876.0,65,3.0,2.0,0
310000000,1,84.87,1252.0,18,3.0,2.0,0
1090000000,1,95.76,1306.0,37,3.0,1.0,0
440000000,0,134.19,952.0,10,5.0,2.0,0
600000000,1,101.88,796.0,6,3.0,2.0,0
450000000,0,84.9402,865.0,7,3.0,2.0,1
368000000,1,84.99,179.0,1,3.0,2.0,1
1650000000,1,156.84,1466.0,32,5.0,2.0,0
179300000,0,84.94,495.0,7,3.0,1.0,1
490000000,1,47.94,783.0,15,2.0,1.0,0
1610000000,1,84.93,3893.0,28,3.0,2.0,0
124000000,0,77.85,812.0,8,3.0,2.0,1
170000000,1,44.52,1402.0,16,2.0,1.0,1
330000000,1,84.88,134.0,1,3.0,2.0,1
452000000,0,179.97,857.0,14,3.0,2.0,0
142000000,0,59.9675,513.0,8,3.0,2.0,1
810000000,0,125.4155,4599.0,14,4.0,2.0,1
590000000,1,137.42,955.0,8,4.0,2.0,0
930000000,1,72.51,4026.0,99,3.0,1.0,0
165000000,1,36.16,1710.0,10,2.0,1.0,0
415000000,0,107.63,774.0,2,4.0,2.0,1
380000000,1,59.912,2554.0,31,3.0,1.0,1
380000000,1,84.9,819.0,2,3.0,1.0,1
300000000,0,131.63,191.0,1,4.0,2.0,1
145000000,0,84.99,1070.0,14,3.0,2.0,0
400000000,1,115.28,827.0,13,4.0,2.0,1
435000000,1,84.96,5402.0,49,3.0,2.0,0
898000000,1,91.5933,239.0,4,3.0,2.0,1
104000000,0,49.32,202.0,4,2.0,1.0,1
170000000,1,59.73,529.0,4,3.0,1.0,1
340000000,0,125.12,399.0,3,4.0,2.0,1
200000000,0,84.93,662.0,10,3.0,2.0,0
136000000,0,57.0,1197.0,8,2.0,1.0,0
430000000,1,84.98,344.0,3,3.0,2.0,1
348500000,1,59.92,2721.0,25,3.0,1.0,1
550000000,1,71.49,435.0,3,3.0,1.0,0
1080000000,1,134.9883,2697.0,29,4.0,2.0,1
325000000,0,84.6389,1405.0,6,3.0,2.0,1
135000000,0,60.0,637.0,8,3.0,2.0,1
558000000,1,59.9,382.0,9,3.0,2.0,1
688000000,0,244.849,4515.0,30,5.0,3.0,1
95000000,0,84.92,49.0,2,3.0,2.0,1
380000000,1,84.64,1855.0,25,3.0,2.0,1
900000000,1,84.77600000000002,672.0,12,3.0,2.0,1
195000000,1,44.52,2328.0,18,2.0,1.0,0
319000000,0,85.0,1578.0,9,3.0,2.0,1
350000000,1,84.74,92.0,1,3.0,2.0,1
235000000,0,59.8,1833.0,20,3.0,1.0,1
255000000,1,59.82,882.0,9,3.0,1.0,1
346890000,0,127.24,1066.0,4,3.0,2.0,1
555000000,1,134.33,451.0,5,4.0,2.0,1
409000000,1,59.92,551.0,7,3.0,2.0,0
220000000,0,84.82,144.0,2,3.0,2.0,1
216000000,0,59.9115,4697.0,49,3.0,2.0,1
530000000,1,84.6,344.0,2,3.0,2.0,1
38000000,0,48.63,171.0,1,3.0,1.0,1
450000000,1,84.87799999999999,1054.0,11,3.0,2.0,1
72000000,0,59.755,183.0,1,3.0,1.0,1
474000000,1,59.92,551.0,7,3.0,2.0,0
400000000,1,84.86,185.0,1,3.0,2.0,1
322500000,0,59.6,682.0,9,3.0,1.0,0
415000000,1,84.88,2123.0,7,3.0,2.0,0
377000000,1,84.88,166.0,2,3.0,2.0,1
63500000,0,49.32,202.0,4,2.0,1.0,1
250000000,1,54.7,902.0,5,2.0,1.0,1
573000000,1,105.71,744.0,7,4.0,2.0,1
445000000,1,114.81,711.0,6,4.0,2.0,0
390000000,1,59.9,468.0,5,2.0,1.0,0
89800000,0,59.94,1984.0,24,3.0,1.0,0
934130000,1,131.05,805.0,3,3.0,2.0,1
424000000,1,84.83,811.0,13,3.0,2.0,0
177000000,1,59.95,1459.0,13,3.0,1.0,1
1218000000,1,131.04,750.0,7,5.0,2.0,0
475000000,1,84.9,1140.0,12,3.0,2.0,0
560000000,1,118.25,1299.0,8,4.0,2.0,0
150000000,0,59.9666,402.0,4,3.0,2.0,1
290000000,1,83.97,176.0,4,3.0,2.0,1
280000000,1,52.74,174.0,5,2.0,1.0,1
398000000,1,84.53,1581.0,16,3.0,2.0,0
84000000,1,33.18,1650.0,12,2.0,1.0,0
1345000000,1,84.95,4900.0,46,3.0,2.0,0
470000000,1,83.52,674.0,14,3.0,1.0,0
191500000,1,59.76,1664.0,10,2.0,1.0,1
215000000,1,49.77,2450.0,16,3.0,1.0,0
1020000000,1,157.87,444.0,6,5.0,2.0,1
314000000,0,121.48,410.0,4,4.0,2.0,1
307500000,1,84.92,347.0,6,3.0,2.0,1
458000000,1,84.33,465.0,3,3.0,2.0,1
179000000,1,41.3,2123.0,17,2.0,1.0,0
490000000,1,114.99,3060.0,31,4.0,2.0,1
360000000,1,84.57,2504.0,26,3.0,2.0,1
230000000,1,59.88,1352.0,15,3.0,1.0,0
300000000,1,84.96,708.0,5,3.0,2.0,1
500000000,1,84.7,267.0,4,3.0,2.0,1
745000000,0,118.3775,3942.0,3,3.0,2.0,0
330000000,1,84.96,1459.0,13,3.0,2.0,1
804180000,1,114.55,937.0,3,3.0,2.0,1
410000000,1,51.48,646.0,19,2.0,1.0,0
398000000,1,84.76,1352.0,15,3.0,2.0,0
450000000,1,84.78,1188.0,16,3.0,2.0,1
495000000,1,84.98299999999998,635.0,22,3.0,2.0,1
199000000,0,84.99,2716.0,24,3.0,2.0,1
585000000,1,84.98,144.0,3,3.0,2.0,1
375000000,1,59.99,2772.0,32,3.0,1.0,1
430000000,0,84.99,932.0,29,3.0,2.0,1
290000000,1,84.97,3146.0,25,3.0,2.0,1
340000000,1,84.98,467.0,7,3.0,2.0,1
250000000,1,64.4,477.0,5,3.0,1.0,1
370000000,1,84.95100000000002,1077.0,15,3.0,2.0,1
475000000,1,59.76,1065.0,11,3.0,1.0,0
113000000,0,59.95,1989.0,15,3.0,1.0,1
128000000,0,84.9961,1989.0,18,3.0,2.0,1
650000000,1,131.4,1200.0,6,4.0,2.0,0
205000000,0,59.7,1037.0,12,3.0,1.0,1
360000000,1,59.74,470.0,6,2.0,1.0,0
1640000000,1,82.61,3930.0,30,4.0,1.0,0
340000000,1,79.97,1230.0,15,4.0,1.0,0
1100000000,1,84.83,468.0,2,3.0,1.0,0
875000000,0,110.477,3728.0,3,3.0,2.0,1
200000000,1,49.72,315.0,6,3.0,1.0,0
810000000,1,114.99,1806.0,25,4.0,2.0,1
640000000,1,84.85799999999998,1108.0,17,3.0,2.0,1
380000000,1,84.995,1103.0,15,3.0,2.0,1
105000000,0,49.73,481.0,6,2.0,1.0,0
380000000,0,145.8,946.0,1,5.0,2.0,1
126000000,1,32.39,2123.0,17,1.0,1.0,0
233000000,0,84.97399999999998,2136.0,19,3.0,2.0,0
135000000,0,84.38,350.0,2,3.0,2.0,1
85000000,0,49.23,184.0,6,2.0,1.0,1
310000000,1,84.97,1602.0,15,3.0,2.0,1
300000000,1,84.85,413.0,4,3.0,1.0,1
512000000,1,59.84,1010.0,14,3.0,2.0,0
500000000,1,72.44,713.0,11,3.0,1.0,0
248000000,1,74.105,714.0,4,3.0,1.0,1
337500000,1,64.4,870.0,7,2.0,1.0,1
455000000,1,84.75,154.0,1,3.0,2.0,1
390000000,1,84.589,1678.0,26,3.0,2.0,1
592000000,1,65.1,783.0,15,2.0,1.0,0
598000000,1,41.98,2500.0,124,2.0,1.0,1
360000000,1,59.94,1215.0,10,3.0,1.0,0
325000000,1,59.94,255.0,3,3.0,1.0,1
1015000000,1,122.3,1625.0,33,4.0,2.0,0
348000000,0,84.98,1323.0,11,3.0,2.0,1
590000000,1,96.83,707.0,5,3.0,2.0,0
965000000,1,84.99,7876.0,65,3.0,2.0,0
189000000,1,59.94,3940.0,25,3.0,1.0,1
385000000,1,84.87,2721.0,25,3.0,2.0,1
1780000000,1,84.943,6075.0,44,3.0,2.0,0
220000000,1,59.4,389.0,4,2.0,1.0,0
114510000,0,84.34,1440.0,16,3.0,2.0,1
582000000,0,151.9156,4599.0,14,4.0,2.0,1
69000000,0,49.8,287.0,2,2.0,1.0,1
140000000,0,59.69,303.0,2,3.0,1.0,1
240000000,1,59.99,856.0,9,3.0,1.0,1
235000000,1,84.99600000000002,140.0,1,0.0,0.0,1
273000000,0,84.975,1497.0,11,3.0,2.0,1
94000000,0,59.99,1430.0,10,3.0,1.0,1
346000000,1,84.97,3940.0,25,3.0,2.0,1
358000000,1,89.46,1000.0,13,3.0,2.0,0
270000000,1,68.12,832.0,9,3.0,1.0,0
296000000,1,58.01,2000.0,27,2.0,1.0,0
470000000,1,59.82,2085.0,15,2.0,1.0,0
310000000,0,84.93,1187.0,11,3.0,1.0,1
280000000,0,84.98,619.0,3,3.0,2.0,1
510000000,1,84.97,2300.0,18,3.0,2.0,0
510000000,1,84.46,314.0,4,3.0,2.0,0
555000000,0,83.012,3728.0,3,2.0,2.0,1
162000000,1,53.16,4753.0,30,2.0,1.0,1
990000000,1,127.44,1453.0,14,4.0,2.0,1
240000000,0,59.97,227.0,2,3.0,1.0,1
1010000000,1,84.99,7876.0,65,3.0,2.0,0
515000000,1,84.97,3310.0,42,3.0,2.0,0
271000000,0,84.88,220.0,2,3.0,2.0,1
727000000,1,114.94,3384.0,35,4.0,2.0,1
305000000,1,59.73,576.0,7,3.0,2.0,1
850000000,1,130.93,1316.0,21,4.0,2.0,0
700000000,1,107.38,206.0,1,4.0,2.0,1
263000000,1,42.93,2300.0,18,2.0,1.0,0
180500000,0,59.997,2716.0,24,2.0,1.0,1
346710000,0,133.1457,440.0,4,4.0,2.0,1
245000000,1,59.58,1351.0,12,3.0,1.0,1
210000000,0,59.6,682.0,9,3.0,1.0,0
380000000,1,59.74,779.0,5,2.0,1.0,1
725000000,1,114.98,2024.0,14,4.0,2.0,0
452000000,0,84.9,1422.0,15,3.0,2.0,0
280000000,0,84.9501,1582.0,8,3.0,2.0,1
276000000,1,84.97,638.0,10,3.0,2.0,1
448000000,1,84.87799999999999,1054.0,11,3.0,2.0,1
400000000,1,70.38,224.0,1,3.0,1.0,0
230000000,1,49.75,800.0,9,3.0,1.0,1
462500000,1,84.915,1052.0,11,3.0,2.0,1
380000000,1,59.93,250.0,4,3.0,1.0,1
680000000,1,133.3,550.0,5,4.0,2.0,1
448000000,1,59.99,1346.0,17,3.0,1.0,1
845000000,1,84.96799999999998,2237.0,30,3.0,2.0,0
101000000,0,59.75,217.0,5,3.0,1.0,1
187500000,0,84.9961,1989.0,18,3.0,2.0,1
79000000,0,59.9942,1989.0,18,3.0,2.0,1
500000000,0,123.307,5755.0,15,4.0,2.0,1
178000000,0,84.9876,658.0,6,3.0,2.0,1
184000000,1,39.84,1650.0,12,2.0,1.0,0
103500000,0,83.08,206.0,2,3.0,2.0,1
138500000,0,84.994,902.0,8,3.0,2.0,1
255000000,0,84.9888,522.0,6,3.0,2.0,1
417000000,1,84.89,219.0,2,3.0,2.0,0
