transaction_real_price,city,exclusive_use_area,floor,total_parking_capacity_in_site,total_household_count_in_sites,apartment_building_count_in_sites,heat_type,heat_fuel,front_door_structure,supply_area,total_household_count_of_area_type,room_count,bathroom_count
724000000,1,84.55,9,500.0,448,5,central,gas,stairway,105.26,140,3.0,1.0
390000000,1,82.49,9,131.0,127,1,individual,gas,stairway,110.63,95,3.0,2.0
341000000,1,84.87,2,2990.0,2182,22,individual,gas,stairway,107.62,981,3.0,2.0
68000000,0,40.66,1,1000.0,812,18,individual,gas,stairway,46.28,576,1.0,1.0
83000000,0,32.58,4,217.0,358,1,individual,gas,stairway,46.28,48,1.0,1.0
270000000,0,119.06,9,350.0,450,2,individual,gas,stairway,140.44,18,4.0,2.0
95000000,0,59.79,8,560.0,549,6,individual,gas,stairway,79.58,76,2.0,1.0
201500000,0,56.345,8,952.0,896,10,district,cogeneration,stairway,75.28,402,3.0,1.0
313000000,1,84.96,2,1459.0,1371,13,individual,gas,stairway,110.12,19,3.0,2.0
480000000,1,84.93,12,600.0,572,8,central,gas,stairway,103.8,252,3.0,1.0
197000000,0,107.1559,8,161.0,128,1,individual,gas,stairway,132.02,19,4.0,2.0
78000000,0,59.84,13,375.0,988,6,individual,gas,stairway,73.97,598,2.0,1.0
359000000,1,79.07,3,266.0,247,4,individual,gas,stairway,105.17,106,3.0,2.0
159000000,1,59.52,13,195.0,218,1,individual,gas,corridor,80.9,87,2.0,1.0
85000000,0,59.22,24,220.0,285,2,individual,gas,corridor,84.55,100,2.0,1.0
352500000,1,59.89,6,1710.0,855,6,central,gas,corridor,76.51,165,2.0,1.0
400000000,1,84.87,6,132.0,122,2,individual,gas,stairway,106.39,47,3.0,2.0
253000000,0,84.965,4,3958.0,2947,29,individual,gas,stairway,105.89,1464,3.0,2.0
390000000,1,84.689,3,989.0,795,10,district,cogeneration,stairway,116.82,337,3.0,2.0
428000000,1,58.46,6,2328.0,2328,18,district,cogeneration,corridor,80.31,528,2.0,1.0
600000000,1,114.94,10,436.0,362,5,district,gas,stairway,143.32,28,4.0,2.0
292000000,0,84.88799999999999,6,619.0,362,3,individual,gas,stairway,108.11,266,3.0,2.0
240000000,1,59.855,7,2733.0,2197,30,individual,gas,stairway,82.62,624,3.0,1.0
366500000,1,55.4561,12,729.0,734,7,individual,gas,stairway,74.93,415,3.0,2.0
740000000,1,84.90899999999999,8,886.0,1432,21,district,cogeneration,stairway,110.09,160,3.0,2.0
370000000,1,59.25,12,1299.0,1080,8,central,gas,stairway,77.13,90,2.0,1.0
440000000,1,99.917,7,986.0,564,11,district,cogeneration,stairway,126.75,354,3.0,2.0
375000000,1,59.96,14,3384.0,3404,35,individual,gas,corridor,83.76,705,3.0,1.0
108000000,0,49.14,20,700.0,990,7,individual,gas,mixed,64.38,0,2.0,1.0
74000000,0,39.78,3,,570,5,individual,gas,stairway,55.02,570,2.0,1.0
87500000,0,84.98,6,,108,2,individual,gas,stairway,98.89,12,3.0,2.0
718000000,1,65.34,12,1104.0,1882,34,district,cogeneration,corridor,88.5,288,2.0,1.0
166000000,0,61.52,3,1578.0,2544,18,individual,gas,corridor,85.72,360,2.0,1.0
269000000,0,59.99,8,481.0,799,6,district,cogeneration,stairway,79.59,494,3.0,1.0
599000000,1,114.99,1,588.0,510,10,individual,gas,stairway,133.44,100,4.0,2.0
234000000,0,84.99,25,3776.0,3382,35,individual,gas,stairway,107.48,850,3.0,2.0
324500000,1,59.76,5,262.0,260,2,individual,gas,stairway,84.66,104,3.0,1.0
237000000,1,59.89,6,748.0,719,9,individual,gas,corridor,81.42,74,3.0,1.0
254000000,1,59.39,10,676.0,2265,26,district,cogeneration,stairway,77.11,150,2.0,1.0
572000000,1,84.913,2,333.0,299,5,individual,gas,stairway,111.47,80,3.0,2.0
