Twitter_Keyword,Twitter_Search_Result_Counts
Colour Riche Nude,0
Rouge Signature,0
True Match Lumi,0
Unlimited Waterproof,0
Infallible 24 HR,0
Infallible Full,0
Unlimited Washable,0
UnbelievaBrow,13
Colour Riche Stain,0
Colour Riche Lipstick,0
Voluminous,130
Infallible Gloss,0
Infallible Highlighter,0
Infallible Eye Shadow ,0
Voluminous Mascara,0
Infallible Foundation Sticks,0
Paradise Eyeshadow,0
Voluminous Eyeliner,0
Infallible Highlighter Sticks,0
Paradise Blush,0
Infallible Blush Sticks ,0
