Unnamed: 0,post.user.name,recnet_24hr_post_ID,recnet_post_content,recnet_post_time,post_retweet_count
0,Avril Lavigne,1.09793E+18,üñ§icon. You‚Äôre truly missed. https://t.co/8roMHjW70o,2/19/19 19:02,2758
1,Ariana Grande,1.10293E+18,üå´ @starbucks cloud #cloudmacchiato #starbucksambassador #trythesoyversion üå± https://t.co/y2LRAx33Sq,3/5/19 14:02,14217
2,KATY PERRY,1.10243E+18,One of my favorite #AmericanIdol moments: turning uncle @LionelRichie into FASHUN üíÅüèº,3/4/19 4:36,263
3,Rihanna,1.08196E+18,For the ‚ù§Ô∏è of X. Get ready for @savagexfenty's Valentine's Day styles - out Jan. 9th! https://t.co/oG4Xocxo9a,1/6/19 17:18,8663
4,Chris Brown,1.08675E+18,"#Undecided has hit @ministryofsound‚Äôs R&amp;B Mixtape playlist! Stream exclusively on @applemusic now! 
Playlist link:‚Ä¶ https://t.co/bIZ89gxkGs",1/19/19 22:25,792
5,Justin Bieber,1.05745E+18,@torikelly I have listened to this album 10 times in a row. Incredible,10/31/18 1:54,3729
6,Lady Gaga,1.09473E+18,"üò≠‚ù§Ô∏èa Grammy for Joanne is more than me &amp; my family could ever dream of. I sang that version in one take, &amp; poured m‚Ä¶ https://t.co/QeiWEjfjF0",2/10/19 22:44,24714
7,Maroon 5,1.10022E+18,"RT @maroon5: Blown away by these submissions on @yarntexts! Check out our favorites from ""Girls Like You‚Äù! https://t.co/IeEZT9vX0Z https://‚Ä¶",2/26/19 2:35,173
8,Bruno Mars,1.1017E+18,What‚Äôs the plot tho? https://t.co/eh6m7hHB6Z,3/2/19 4:09,3614
9,Taylor Swift,9.70649E+17,‚ú®‚ú®‚ú®‚ú®‚ú®‚ú®‚ú®‚ú®‚ú®‚ú®‚ú®‚ú®‚ú® https://t.co/KHNRCaKfU0,3/5/18 13:16,30671
