singer_name,singer_spotify_id,album_name,album_id,album_date,total_tracks
Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j,Let Go,3zXjR3y2dUWklKmmp6lEhy,2002-06-04,13
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",2fYhqwDWXjbpjaIJPEfKFw,2019-02-08,12
Katy Perry,6jJ0s89eD6GaHleKKya26X,PRISM (Deluxe),5MQBzs5YlZlE28mD9yUItn,2013-01-01,16
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,ANTI,3Q149ZH46Z0f3oDR7vlDYV,2016-01-28,13
Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Undecided,0JOT3Ff4gJ939hqdeEpsZv,2019-01-04,1
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Purpose (Deluxe),6Fr2rQkZ383FcMqFyT7yPr,2015-11-13,19
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,A Star Is Born Soundtrack,4sLtOBOzn4s3GDUv3c5oJD,2018-10-05,34
Maroon 5,04gDigrS5kc9YWfZHwBETP,Girls Like You (feat. Cardi B),75iQSBSaztFIAun9qLLCnb,2018-05-30,1
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,24K Magic,4PgleR09JVnm3zY1fW3XBA,2016-11-17,9
Taylor Swift,06HL4z0CvFAxyc27GXpf02,reputation,6DEjYFkNZh67HP7R9PSZvv,2017-11-10,15
The Veronicas,1dIdBZaaHRW2bDTkHNfWln,Hook Me Up (US Version),6aL2SwYj5kSEvIcYORHP37,2007-10-30,13
Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,Beautiful (feat. Camila Cabello),6hCR3zQtRH0IgookOYt771,2018-08-02,1
Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j,Let Go,3zXjR3y2dUWklKmmp6lEhy,2002-06-04,13
6ix9ine,7gZfnEnfiaHzxARJ2LeXrf,DUMMY BOY,03KcW1ZhaSnj8pIk1LUNQs,2018-11-27,13
Jeremih,3KV3p5EY4AvKxOlhGHORLg,Late Nights: The Album,7DMyQuDPe8xzjC0UDSDa96,2015-12-04,15
Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m,Inner Monologue Part 1,1xJ7jIK1tT0aVoJw1fPE6r,2019-01-24,6
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Kiss (Deluxe),29blfJv8AddJrjuG3DpE13,2012-01-01,15
Galantis,4sTQVOfp9vEMCemLw50sbu,Bones (feat. OneRepublic),49vus1VCWc7AbgDmKYb8SC,2019-01-31,1
Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,Swalla (feat. Nicki Minaj & Ty Dolla $ign),2e5CxfyEwBW115beiwh7Mc,2017-02-23,1
DJ Snake,540vIaP2JwjQb9dm3aArA4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0ZHyvPke0EcVt6rYA8Ins3,2018-09-28,1
Ashlee Simpson,4hqDqHtBlgxXpLXVYf7c8L,Autobiography,0w11HUk0hE4WZ95Bvp6vNI,2004-01-01,12
ZAYN,5ZsFI1h6hIdQRw2ti0hz81,Dusk Till Dawn (Radio Edit),5l5gR4rh26QI3fijGFTDrp,2017-09-07,1
