singer_name,singer_spotify_id,singer_spotify_followers,singer_spotify_popularity,total_albums,top_1_related_artist,top_2_related_artist,top_3_related_artist
Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j,3966546,80,7,The Veronicas,Ashlee Simpson,Hilary Duff
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,25507161,100,24,Camila Cabello,ZAYN,Dua Lipa
Katy Perry,6jJ0s89eD6GaHleKKya26X,12356717,83,34,Avril Lavigne,Kelly Clarkson,Selena Gomez & The Scene
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,30253796,89,48,Nicki Minaj,Beyoncé,Miley Cyrus
Chris Brown,7bXgB6jMjp9ATFy66eO08Z,8196526,88,60,Jeremih,Trey Songz,Mario
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,26545863,87,27,Niall Horan,ZAYN,Liam Payne
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,6755578,91,38,Carly Rae Jepsen,Troye Sivan,Kim Petras
Maroon 5,04gDigrS5kc9YWfZHwBETP,16584076,88,70,OneRepublic,The Script,Train
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,20002200,89,7,Jason Derulo,Jessie J,Sean Kingston
Taylor Swift,06HL4z0CvFAxyc27GXpf02,18179009,88,49,Selena Gomez,Demi Lovato,Miley Cyrus
