singer_name,singer_spotify_id,song_name,song_id,duration_ms,song_popularity,album_name,album_id
Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j,Complicated,5xEM5hIgJ1jjgcEBfpkt2F,244506,76,Let Go,3zXjR3y2dUWklKmmp6lEhy
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,190440,99,"thank u, next",2fYhqwDWXjbpjaIJPEfKFw
Katy Perry,6jJ0s89eD6GaHleKKya26X,Dark Horse,5jrdCoLpJSvHHorevXBATy,215672,77,PRISM (Deluxe),5MQBzs5YlZlE28mD9yUItn
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Love On The Brain,2aksifNn5ph8igDOkPBA02,224000,73,ANTI,3Q149ZH46Z0f3oDR7vlDYV
Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Undecided,7uiBocndm12aKbsdnQ3Scx,187297,86,Undecided,0JOT3Ff4gJ939hqdeEpsZv
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Love Yourself,50kpGaPAhYJ3sGmk6vplg0,233720,82,Purpose (Deluxe),6Fr2rQkZ383FcMqFyT7yPr
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Shallow,2VxeLyX666F8uXCJ0dZF8B,215733,95,A Star Is Born Soundtrack,4sLtOBOzn4s3GDUv3c5oJD
Maroon 5,04gDigrS5kc9YWfZHwBETP,Girls Like You (feat. Cardi B),6FRLCMO5TUHTexlWo8ym1W,235545,88,Girls Like You (feat. Cardi B),75iQSBSaztFIAun9qLLCnb
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,206693,84,24K Magic,4PgleR09JVnm3zY1fW3XBA
Taylor Swift,06HL4z0CvFAxyc27GXpf02,Delicate,6NFyWDv5CjfwuzoCkw47Xf,232253,80,reputation,6DEjYFkNZh67HP7R9PSZvv
The Veronicas,1dIdBZaaHRW2bDTkHNfWln,Untouched,0KlahhzNb98zyN83Vwae0l,255360,62,Hook Me Up (US Version),6aL2SwYj5kSEvIcYORHP37
Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Beautiful (feat. Camila Cabello),4VUwkH455At9kENOfzTqmF,180000,89,Beautiful (feat. Camila Cabello),6hCR3zQtRH0IgookOYt771
Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j,Complicated,5xEM5hIgJ1jjgcEBfpkt2F,244506,76,Let Go,3zXjR3y2dUWklKmmp6lEhy
